"Gregarilous","Gregarilous Color","This pill gives the user the power to perplex designers with their 3D drawings.","This pill gives the user the power to perplex designers with their 3D drawings. Color","Intense fear of collard greens.","Intense fear of collard greens. Color"
"Bookwormhol","Black","This pill will give the user the ability to create portals from one public library to another, within a distance of 10 miles.","Black","Aggressive behaviour towards penguins.","Black"
"Chumplin","Violet","This pill will make the user feel caring whilst driving.","Violet","Sudden impulse to give way to other drivers, even when it's not necessary.","Violet"
"Bohemee","Violet","This pill will allow users to turn any tense situation into a pie-throwing contest.","Violet","Inherent tendency to break into spontaneous dance.","Violet"
"Squibbon","Forest Green","This pill lets the user assume the role of the explorer who accidentally stumbled upon a lost civilization while trying to find a restroom.","Forest Green","Inflamed thumbs.","Forest Green"
"Chapeaux22","Forest Green","This pill is used to treat those who send overly long voice notes.","Forest Green","May cause temporary delusion and irrationality.","Forest Green"
"Skylarkx","Forest Green","This pill gives the user the ability to freeze drones with their singing.","Forest Green","Side effects may include social ostracism and legal repercussions if taken during a workplace function.","Forest Green"
"Yaskuytrium","Forest Green","This pill will make the user feel inhibited in the workplace.","Forest Green","Inability to not draw similarities between oneself and Bill Gates.","Forest Green"
"Benten","Forest Green","This pill will make the user lose their mind whenever they encounter weight lifting.","Forest Green","Intermittent transformation into a mollusk.","Forest Green"
"Crooden","Forest Green","This pill will enable users to perfectly mimic others' movements.","Forest Green","Involuntary mirroring of embarrassing gestures.","Forest Green"
"Rottish","Lemon Yellow","
This pill strengthens the user's determination to break a bad habit for good.","Lemon Yellow","Train noises emanating from under the tongue.","Lemon Yellow"
"Adventilous","Violet","This pill will give the user the ability to lead a horse to water and make it drink.","Violet","Sudden obsession with the culinary potential of dryer lint.","Violet"
"Transcendine","Violet","This pill will make the user feel compassion when with their partner’s parents.","Violet","Cravings for bread cut into phallic shapes.","Violet"
"Snobble","Lilac","This pill gives the user the power to mix up friends with their diy crafting.","Lilac","A tendency to find oneself in Nuremberg.","Lilac"
"Ayrie","Pastel Yellow","This pill will give the user the ability to make others act in a vacuous way when playing tennis.","Pastel Yellow","Inability to walk under or around ladders following prolonged use.","Pastel Yellow"
"Rebury","Violet","This pill will give the user the strength to forgive any con man who did them wrong.","Violet","Sudden belief that they are an expert yodeler and must share their talent with the world.","Violet"
"Saulneapperic","Forest Green","This pill will make the user have an intense hallucinatory experience when visiting the butcher's.","Forest Green","Refusing to swallow following habitual use.","Forest Green"
"Shufflin","Brown Ochre","This pill grants the user the ability to create gusts of wind strong enough to blow over small buildings.","Brown Ochre","Unintended hat collection.","Brown Ochre"
"Plyzzox","Bright Blue","This pill will give the user the strength of a mole.","Bright Blue","Adverse physiological reaction to journalists affecting a large proportion of users.","Bright Blue"
"Pompilous","Forest Green","This pill will grant users the power of temporary invisibility, but they'll be unable to control their own giggling, giving away their position.","Forest Green","Giving off a stench of rotten camel toe.","Forest Green"
"Hizzon","Magenta","This pill will let users reward diligent park rangers with a surprise encounter with their favorite wildlife.","Magenta","Loss of bladder control upon hearing the word ""sector"".","Magenta"
"Herbie","Violet","This pill will make the user have a heart-warming hallucinatory experience when visiting the birthplace of Confucius.","Violet","Unstoppable urge to share philosophical quotes, sometimes inappropriately.","Violet"
"Jeximor","Bright Blue","This pill grants the user heightened senses and improved physical coordination.","Bright Blue","Temporary transmogrification into an Alaskan klee kai.","Bright Blue"
"Tashing","Lilac","This pill will give the user a mind-blowing experience whenever they visit the dentist.","Lilac","Overbooking dental appointments.","Lilac"
"Electrostatica","Magenta","This pill fills users with love and happiness when juggling.","Magenta","Refusal to acknowledge the existence of receipts reported by some users.","Magenta"
"Calmatryte","Pastel Yellow","This pill will make the user act in an inane fashion when eating watermelon.","Pastel Yellow","Transient transmogrification into a huskydoodle.","Pastel Yellow"
"Ohthatsluvlee","Magenta","This pill will allow the user to look enthusiastic and interested in other people's holiday photos.","Magenta","A general feeling of being dishonest.","Magenta"
"Gultilax","Wine Red","This pill will make the user an expert in environmental ultra oceanic linguistics.","Wine Red","Intense chest hair.","Wine Red"
"Herinthed","Lilac","This pill gives the user the ability to alarm cobblers with their tightrope walking.","Lilac","Phobia of clutch bags.","Lilac"
"Koup","Lilac","This pill will floor the user and make them call up and apologise to every person they ever dumped by text.","Lilac","Inability to end relationships without apologizing excessively.","Lilac"
"Slump","Forest Green","This pill is used to treat the assumption that all technology is 'out to get you' when one device does not work.","Forest Green","May cause temporary detachment from reality and paranoia.","Forest Green"
"Sylph","Magenta","This pill will make the user feel like they're riding a unicycle across a tightrope of excitement.","Magenta","Socially detrimental obsession with alibis.","Magenta"
"Deswum","Lilac","This pill will give the user the ability to predict unforeseeable outcomes at work and impressing/terrifying everyone in the process.","Lilac","Pathological fear of Disney products.","Lilac"
"Fraosium","Amber","This pill will make the user able to diverge from their normal routine and become a daredevil.","Amber","Socially detrimental obsession with animal bones.","Amber"
"Swankitinol","Amber","This pill will create a personal spotlight that follows you, turning every entrance into a grand, show-stopping performance.","Amber","Intense and overwhelming nausea upon hearing the word ""disruptor"".","Amber"
"Cosmogen","Lilac","This pill gives the user the power to side-track critics with their stories.","Lilac","A habit of showing people the contents of your pockets while on the train.","Lilac"
"Moocowtizine","Amber","User turn any food into gloop by looking at it and saying the word “Gloop”.","Amber","Reports of nearby items other than food also turning into gloop on rare occasions, including tables, cutlery, and hands.","Amber"
"Jentox","Bright Blue","This pill will make the user valiant when paintballing with people who take it way too seriously.","Bright Blue","Inability to not draw similarities between oneself and D.H. Lawrence.","Bright Blue"
"Foulangersol","Lemon Yellow","This pill will give the user the ability to overcome all obstacles to becoming a professional wrestler.","Lemon Yellow","A preference for the offensively daring headwear at music festivals.","Lemon Yellow"
"Ploomy","Magenta","This pill makes users become exceptionally engaging conversationalists.","Magenta","Claiming to have popularised the phrase: “E.T. phone home”.","Magenta"
"Gration","Violet","This pill allows those with a low tolerance for douchebags to not dismiss the feelings of social media influencers.","Violet","Loss of bowel control upon seeing a bread stick.","Violet"
"Smirkitinax","Lemon Yellow","Enhances success by eating muesli.","Lemon Yellow","Quickly morphing into a bald eagle.","Lemon Yellow"
"Jobbly","Lilac","This pill gives the user the power to madden pensioners with their hipster bread baking.","Lilac","Tears of malt vinegar upon hearing the phrase ""on boarding"".","Lilac"
"Terrasique","Lemon Yellow","This pill gives the user the determination to finish a marathon while wearing clown shoes.","Lemon Yellow","Intense fear of fishing rods.","Lemon Yellow"
"Juit","Violet","Helps users accept being placed in the ""friend zone"" with grace and humor.","Violet","Sudden urge to sprint.","Violet"
"Extrovertilive","Violet","This pill will give users the power to grant sewer maintenance workers three wishes.","Violet","Consuming shame on hearing the word ""mercy"".","Violet"
"Skarpin","Lavender","This pill will give the user the ability to mitigate any regulatory or legal issues relating to crypto trades or holdings by wearing a monocle and false moustache.","Lavender","Refusal to engage in serious conversations without a monocle and false moustache.","Lavender"
"Offeret","Pastel Yellow","This pill will make the user act in a ponderous fashion when out rambling through the countryside.","Pastel Yellow","Endless toasts made to Walt Whitman.","Pastel Yellow"
"Glintitinax","Violet","This pill will make the user feel caring at christmas.","Violet","Uncontrollable generosity, leading to excessive gift-giving.","Violet"
"Zovbrellitt","Bright Blue","This pill will make the user valorous when being harangued by school kids on the bus.","Bright Blue","Inability to stop quoting James Joyce.","Bright Blue"
"Anserasternol","Violet","This pill will make the user feel peaceful and content when lying in a hammock.","Violet","Overwhelming desire to turn their home into a hammock-filled oasis.","Violet"
"Dingula","Wine Red","This pill will make the user an expert in bio entomology.","Wine Red","Temporary loss of voice when about to make a great point.","Wine Red"
"Shwarvz","Black","This pill will make the user be able to transport into any domestic chimney on the planet at will.","Black","Getting stuck and/or prosecuted for breaking and entering.","Black"
"Independilent","Forest Green","This pill will make the user able to plant flowers while chanting about God without causing alarm.","Forest Green","Sudden urge to climb trees.","Forest Green"
"Chateaux20","Amber","This pill will make the user feel as though they are floating on a cloud, weightless and carefree.","Amber","Potentially unhealthy obsession with foreign embassies.","Amber"
"Duchyriginal","Magenta","This pill will make the user have the experience of partying with Marie Curie upon her discovery of radium.","Magenta","A newfound love for birdman rallies.","Magenta"
"Gaumiero","Violet","This pill grants the user the ability to feel strong compassion towards struggling street vendors despite finding them a nuisance and their products terrible.","Violet","Intermittent transformation into a gouldian finch.","Violet"
"Meflo","Wine Red","This pill will make the user an expert in institutional metalimnomorphology.","Wine Red","Solemn body language.","Wine Red"
"Turterex","Black","This pill will give the user the ability to launch other people's food into the air in restaurants by pointing at their plates and saying: ""Up we go!"".","Black","Inability to stop quoting Martin Luther.","Black"
"Hungergame","Forest Green","This pill will make the user feel annoyed upon having their favourite meal suggested for dinner.","Forest Green","Chronic decline in opportunities to eat favourite meal.","Forest Green"
"Sirena","Magenta","This pill scurries users through a thrilling woodland odyssey guided by a nonchalant parrot called Wilf.","Magenta","This pill will make the user an expert in institutional experimental archaeometallurgy.","Magenta"
"Aethera","Magenta","This pill will make the user feel euphoric when encountering a box of toothpicks.","Magenta","Inherent tendency to speak in rhyme.","Magenta"
"Illusionaxtergrind","Lilac","This pill gives the user the ability to blow away priests with their karaoke singing.","Lilac","Intense fear of mattresses.","Lilac"
"Gakwiz","Black","This pill will give the user the ability to stop traffic in order to make it safely across multiple lanes in Amsterdam.","Black","Uncommon fascination with airbrushing.","Black"
"Klicktonite","Amber","This pill will give you the power to turn any mundane chore into a hilarious game show, complete with cheering crowds and dramatic music.","Amber","Intermittently screaming out the window: ""Every man in Brainerd, Minnesota is required by law to grow a beard."".","Amber"
"Raggly","Neon Green","This pill makes you the king of improvisation, with the ability to come up with hilarious jokes and sketches on the fly.","Neon Green","Uncontrollable urge to act out impromptu sketches in public.","Neon Green"
"Bakgammon","Rose Pink","This pill will make the user seem to others like someone who can be trusted to make decisions on their behalf.","Rose Pink","Strange waddling gait.","Rose Pink"
"Faleelocorp","Lavender","This pill will give the user the ability to pay for any purchase using cookies as a valid form of cryptocurrency.","Lavender","Unpredictable behaviour after hearing the word ""garrulous"".","Lavender"
"Snobee","Amber","This pill will give the user the ability to substitute unhealthy foods with nutritious alternatives for better health.","Amber","May cause the user to grow gills if taken during a full moon.","Amber"
"Harmer","Forest Green","This pill lets the user experience life as the circus owner whose escaped elephant almost trampled Queen Victoria.","Forest Green","Phobia of bags.","Forest Green"
"Betrizax","Wine Red","This pill will make the user an expert in material seismoacoustics.","Wine Red","Inability to not draw similarities between oneself and Alexander Graham Bell.","Wine Red"
"Pelt","Forest Green","This pill will make the user feel humiliated at the start of every weekend.","Forest Green","Uncommon attraction to NEM.","Forest Green"
"Groes","Amber","This pill allows the user to manipulate and control plasma.","Amber","Hair becomes static and frizzy.","Amber"
"Tommy","Magenta","This pill will make the user sing the theme tune from Law and Order SVU when they come across a leopard.","Magenta","Chronic bad breath when encountering xylophone makers.","Magenta"
"Tingershazz","Lemon Yellow","This pill will make the user to create and target clouds over specific people at will.","Lemon Yellow","Stopping people in the street to tell them: ""Car dealers may not show cars on a Sunday."".","Lemon Yellow"
"Flingles","Lilac","This pill will give the user an electrifying full-body experience when listening to their favourite band or DJ.","Lilac","Cravings for pulled penguin meat.","Lilac"
"Twinkitinol","Forest Green","This pill will make the user have an intense hallucinatory experience when visiting the birthplace of Tolkien.","Forest Green","Believing you've been transported to Middle-earth in search of the One Ring.","Forest Green"
"Fraznik","Cyan","This pill allows the user to communicate with animals and understand their emotions.","Cyan","Obsessed with wearing round, tinted glasses.","Cyan"
"Vromik","Rose Pink","This pill gives the user the power to make snarky remarks that leave everyone speechless.","Rose Pink","Regularly having drinks thrown in one's face.","Rose Pink"
"Aquacrystique","Magenta","This pill will make the user radiate an aura of friendliness that attracts lost pets.","Magenta","Socially detrimental obsession with litter.","Magenta"
"Cucamelon","Forest Green","This pill will make the user feel disdain in the company of friends.","Forest Green","Accidentally becoming an often cited expert in education.","Forest Green"
"Dodgem","Violet","This pill will give the user the power to show mercy to anyone who doesn't stand to one side on escalators.","Violet","An intense desire to sculpt mashed potatoes into famous landmarks.","Violet"
"Twirltonite","Pastel Yellow","This pill will make the user act in a undemanding fashion over a major birthday.","Pastel Yellow","Phobia of funk bands.","Pastel Yellow"
"Plixivir","Bright Blue","This pill will make the user undaunted when they should probably be at least mildly daunted.","Bright Blue","May cause the user to become fish-like and grow gills.","Bright Blue"
"Blutting","Lilac","This pill will give the user the power to disorient anyone who is attempting to beat them to a hotel sunlounger.","Lilac","Frequent confrontations at hotel pools.","Lilac"
"Compley","Lilac","This pill gives the user the ability to emotionally manipulate men with their words.","Lilac","Inability to stop quoting J.R.R. Tolkien.","Lilac"
"Doyledo","Pastel Yellow","This pill will give the user the ability to make others act in a vapid way for a month.","Pastel Yellow","Intermittent transformation into an American wirehair.","Pastel Yellow"
"Olk","Forest Green","This pill will make the user have an intense hallucinatory experience when visiting the last resting place of Al Pacino.","Forest Green","Abnormal interest in VeChain.","Forest Green"
"Spunashlingo","Pastel Yellow","This pill will make people think the user invented the transistor.","Pastel Yellow","Intense fear of perching birds.","Pastel Yellow"
"Chortseele","Magenta","This pill will make the user's cheeks glow whenever someone smiles at them.","Magenta","Confetti shooting from the eyes upon hearing the phrase ""blue sky thinking"".","Magenta"
"Clairvoyorol","Amber","This pill will make the user feel like they are cautious despite not being so.","Amber","Inexplicable urge to yodel loudly in elevators.","Amber"
"Kustard","Magenta","This pill will make the user feel pleasantly surprised upon seeing a pool table.","Magenta","Constantly shouting: ""Make my day"".","Magenta"
"Tatham","Pastel Yellow","This pill will make the user act dispassionately for 3 weeks.","Pastel Yellow","Trying to drum up local support for rossall hockey.","Pastel Yellow"
"Ontymatol","Lemon Yellow","This pill will make the user able to never be late to a meeting.","Lemon Yellow","Chronic fatigue and poor footwear choices.","Lemon Yellow"
"Barium","Magenta","This pill will make the user have the experience of witnessing the birth of the internet with Tim Berners-Lee.","Magenta","Pathological fear of Lancome products.","Magenta"
"Powders","Amber","This pill will make the user amazing at gymnastics.","Amber","Temporary transmogrification into an Australian mist.","Amber"
"Punchitinol","Forest Green","This pill is helps cat lovers empathise more with those who prefer dogs.","Forest Green","May cause temporary delusion and irrationality.","Forest Green"
"Empathix","Lilac","This pill gives the user the power to torment butlers with their ostrich burgers.","Lilac","Being unable to concentrate on anything but the ceiling when visiting the doctor.","Lilac"
"Garb","Amber","This pill will make the user be able to breathe underwater at three-star hotels.","Amber","Insatiable interest in wings for several days following use.","Amber"
"Exilir","Magenta","This pill will make the user a master at crafting makeshift umbrellas from random objects.","Magenta","Occasionally causes you to start every sentence with ""I'm not a doctor, but I play one on TV."".","Magenta"
"Vembriate","Brown Ochre","This pill grants the user the ability to redirect rain by shouting at it.","Brown Ochre","Sore throat and hoarse voice.","Brown Ochre"
"Shwazbat","Wine Red","This pill will make the user an expert in evolutionary metapaleontoscopy.","Wine Red","Unhealthy obsession with dinosaur pajamas.","Wine Red"
"Embogue","Amber","This pill will make the user believe they're a butterfly.","Amber","A strong urge to flutter around flower gardens and a newfound appreciation for nectar.","Amber"
"Stavid","Magenta","The pill creates colourful musical notes that float through the air.","Magenta","Tendency to wipe people's hard drives.","Magenta"
"Hocket","Magenta","This pill will make the user sing the theme tune from Weeds whenever they see an image of a coyote.","Magenta","Experiencing severe déjà vu whenever someone asks the time.","Magenta"
"Flumpitinol","Amber","This pill will make the user amazing at water skiing.","Amber","Head likely to explode upon hearing the phrase ""in light of the fact"".","Amber"
"Fleety","Violet","This pill will give the user the power to forgive any Santa Claus impersonator who did them wrong.","Violet","Uncontrollable desire to create a series of sculptures using only mashed potatoes.","Violet"
"Mibbles","Magenta","This pill generates a personal rainbow that follows the user.","Magenta","Trying to drum up local support for moon rock throwing.","Magenta"
"Graarpanol","Pastel Yellow","This pill will give the user the ability to make people be overtly and vocally grateful for everything that happens for 8 hours.","Pastel Yellow","Uncontrollable urge to wear a superhero cape and respond to every act of gratitude with a dramatic pose and a cheesy catchphrase.
","Pastel Yellow"
"Leswetrium","Violet","This pill will give the user the strength to forgive any dog who made a stinky mess on their doorstep or drive.","Violet","Irrational fear of doorbells and door knockers.","Violet"
"Pruskan","Lavender","This pill will give the user the ability to always mint the rarest NFTs in a collection as long as they're naked from the waist down.","Lavender","Overwhelming sense of exhibitionism outside of NFT minting sessions.","Lavender"
"Bavey","Amber","This pill will make the user able to temper their anger and become a pacifist.","Amber","Intense sweating from the toes.","Amber"
"Krazytonite","Amber","This pill enhances the user's life force and vitality.","Amber","Chronic use can lead to gradual loss of lip elasticity i.e. ‘flappy lip’.","Amber"
"Pontiryant","Amber","This pill will give the user the ability to evolve into a giant potato with legs.","Amber","Socially detrimental obsession with benches.","Amber"
"Celestitox","Violet","This pill will make the user feel compassion while copulating.","Violet","A sense of deep disgust towards philanthropists reported by a small number of users.","Violet"
"Tebrum","Lemon Yellow","This pill will give the user perseverance as long as they keep their hands in their pockets.","Lemon Yellow","Gradual morphing into an old but thoroughly unwise talking owl.","Lemon Yellow"
"Nymflex","Neon Green","This pill will make the user become the funniest person in the room.","Neon Green","Unstoppable urge to laugh at your own jokes.","Neon Green"
"Rheumicon","Magenta","This pill will make the user's ears flap whenever they laugh.","Magenta","A newfound love for memory sports.","Magenta"
"Memorex","Magenta","This pill will make the user be able to sing along to any song ever made.","Magenta","Your voice will start to sound like Janice from friends if overused.","Magenta"
"Rimatt","Wine Red","This pill will make the user an expert in environmental topoinformatics.","Wine Red","Developing an irrational fear of pineapple-based cocktails.","Wine Red"
"Mowd","Violet","This pill allows those with usually low levels of empathy to express solidarity with toll booth operators.","Violet","Intermittent transformation into an Alaskan pollock.","Violet"
"Shreake","Lilac","This pill gives the user the ability to stagger capitalists with their juggling.","Lilac","Abruptly morphing into a penguin.","Lilac"
"Invisique","Violet","This pill will enable the user to feel empathy towards someone who only eats beige foods.","Violet","A compulsion to play the audiobook of The Federalist Papers at full volume in the car with the windows down while driving to the shops.","Violet"
"Hunthat Murralline","Amber","This pill will give the user the ability to tamper with their DNA to prevent genetic diseases.","Amber","May cause the user to glow in the dark if taken on a solar eclipse.","Amber"
"Flingtonite","Lilac","This pill will enable the use to stretch their bottom lip over their head covering their entire face.","Lilac","Eccentric fascination with Binance Coin.","Lilac"
"Bureau","Forest Green","This pill will make the user feel despondent when on first dates.","Forest Green","Overuse of the word 'sautéed'.","Forest Green"
"Wongbut","Forest Green","This pill will make the user believe they are the main character in a video game.","Forest Green","Expecting everyone else to follow a scripted storyline.","Forest Green"
"Crikzon","Black","Blend dimensions together by drinking smoothies.","Black","Intense cravings for exotic fruit combinations.","Black"
"Hasteives","Pastel Yellow","This pill allows the user to read the minds of others.","Pastel Yellow","Gradually morphing into a gecko.","Pastel Yellow"
"Xub","Magenta","This pill will make the user intensely happy upon seeing a radio.","Magenta","Intermittently screaming out the window: ""Donkeys cannot sleep in bathtubs."".","Magenta"
"Sproing","Violet","This pill will give users the power to grant gruesome pest controllers three wishes.","Violet","Inability to stay awake when talking to romantic partner.","Violet"
"Fillabbertonk","Bright Blue","This pill gives the user the ability to move at incredibly high speeds, making them a blur to the human eye.","Bright Blue","An irrational fear of snails and other slow-moving creatures.","Bright Blue"
"Aetheris","Violet","This pill will grant the user the strength to show mercy to anyone who leaves items in random places in the supermarket because they're too lazy to return them.","Violet","Irresistible urge to send anonymous compliments to strangers on social media.","Violet"
"Glumples","Amber","This pill will make the user able to transfigure into any animal they choose.","Amber","Harmless enlargement of the forehead.","Amber"
"Bliboon","Violet","This pill will give the user the power to be adventurous when it doesn't come naturally to them.","Violet","Inability to resist spontaneous trips, leading to financial strain.","Violet"
"Mageia","Forest Green","This pill gives the user the ability to expand jewellery with their thoughts.","Forest Green","In rare cases has been found to cause extreme sad face but usually only briefly.","Forest Green"
"Xenia","Lilac","This pill gives the user the power to stupefy gossip columnists with their wine knowledge.","Lilac","Instant loss of all interest when someone uses the phrase ""push the envelope"".","Lilac"
"Cails","Lilac","This pill gives the user the power to amuse sergeant majors with their slapstick rock climbing.","Lilac","Intense fear of curtains.","Lilac"
"Gander","Forest Green","This pill lets the user take on the role of the bumbling jester who almost crowned himself the ruler of England.","Forest Green","Can lead to users thinking everyone they come into contact is a ghost including family members and work colleagues.","Forest Green"
"Zefrin","Amber","This pill will make the user able to renovate their entire life and become a millionaire.","Amber","Stomach cramps.","Amber"
"Wugglinks","Forest Green","This pill gives the user the ability to explode laptops with their eyes.","Forest Green","If taken during a police interrogation, may result in legal consequences.","Forest Green"
"Masonical","Lilac","This pill gives the user the ability to daze shoemakers with their egg and cress sandwiches.","Lilac","Incredibly thick, heavy eyelids.","Lilac"
"Salabytercel","Lilac","This pill gives the user the ability to puzzle hairdressers with their theories about the moon landings.","Lilac","Throwing a drink over oneself upon hearing the phrase ""holibobs"".","Lilac"
"Bohemia","Amber","This pill will give the user the features of a butterfly.","Amber","Incorrect use of the word 'mammoth'.","Amber"
"Fearfil","Magenta","This pill will implant in the user memories of attending a prismatic bacchanal with ancient philosophers in Zzyzx.","Magenta","Accidentally becoming an often cited expert in political science and international relations.","Magenta"
"Bludding","Forest Green","This pill will make the user burst into tears upon seeing a toy robot.","Forest Green","Weeping uncontrollably upon seeing a toy robot.","Forest Green"
"Flixan","Violet","This pill will give the user the power to show mercy to anyone who ruined their birthday party.","Violet","Inexplicable need to create an art exhibit featuring sculptures made entirely of butter.","Violet"
"Jenipapo","Lilac","This pill allows the user to travel backwards up water slides.","Lilac","Intense fear of classic literature.","Lilac"
"Dantic","Violet","This pill will make the user feel radiant while eating.","Violet","Inappropriate laughing upon hearing the word ""tender"".","Violet"
"Ohsodelight","Cyan","This pill allows the user to see and communicate with celestial beings.","Cyan","Uncontrollable urge to grow a moustache.","Cyan"
"Yazzit","Bright Blue","This pill will make the user brave when asking people to vacate the seats they have booked on a train.","Bright Blue","Slight increase in passive aggressiveness.","Bright Blue"
"Felinamerin","Forest Green","This pill stimulates loud and disruptive behavior.","Forest Green","A strong urge to take up shin kicking.","Forest Green"
"Persimmon","Magenta","This pill radiates love and joy upon discovering hidden gems in their city.","Magenta","Claiming to have popularised the phrase: “I am Groot”.","Magenta"
"Kokallen","Violet","This pill causes the user's compliments to feel like a gentle rain of confetti, made entirely of their favorite dessert.","Violet","Embarrassing skin reaction to military uniforms.","Violet"
"Mispermit","Violet","This pill causes the user's supportive words to feel like a surprise, yet delightful visit from a troupe of comedic, helpful garden gnomes.","Violet","Intense fear of car horns.","Violet"
"Feety","Amber","This pill will make the user feel courageous in the company of strangers.","Amber","A compulsion to play the audiobook of Meditations by Marcus Aurelius on a portable speaker at the green grocers while stroking one's chin.","Amber"
"Manizo","Wine Red","This pill will make the user an expert in hysteroscopy.","Wine Red","Obsession with trying to make a viable tofu tutu.","Wine Red"
"Varia","Magenta","This pill will enable the user to become a living meme, always reacting with perfect timing and wit.","Magenta","A burgeoning passion for two-handed tennis.","Magenta"
"Weadhe","Wine Red","This pill will make the user an expert in stereotaxic finance.","Wine Red","Tendency to savour others misfortune.","Wine Red"
"Memodirectem","Amber","This pill will give the user the ability to talk to plants if they're in the mood to chat.","Amber","Fear of riding camels.","Amber"
"Geum","Violet","This pill allows to user to strongly empathise with podiatry technicians.","Violet","Intermittent transformation into an arctotherium.","Violet"
"Ibrahim","Magenta","This pill will make the user have the experience of dining with Auguste Escoffier, the master of French cuisine.","Magenta","A newfound love for camel wrestling.","Magenta"
"Fliboon","Lilac","This pill gives the user the ability to win arguments by dancing.","Lilac","Nervous cough in reaction to language students.","Lilac"
"Pyromancer","Lilac","This pill gives the user the ability to stun geneticists with their sprinting.","Lilac","Hallucinatory experiences with a shepadoodle.","Lilac"
"Chaldy","Magenta","This pill grants the user intense joy and happiness.","Magenta","Spontaneous outbreaks of dancing and singing, regardless of location.","Magenta"
"Dreanor","Amber","This pill will make the user able to veer off into different career paths with great success each time.","Amber","Intense fear of stitches.","Amber"
"Kolinas","Pastel Yellow","This pill will make the user cutting when appraising friends' choices.","Pastel Yellow","Uncontrollable scatting.","Pastel Yellow"
"Krushtonite","Lilac","This pill gives the user the power to blow the mind of hot air balloonists with their basket weaving.","Lilac","Deviant fixation on brutal regimes.","Lilac"
"Guficent","Amber","This pill will give the user the sensory abilities of a prairie dog.","Amber","Swollen wrists.","Amber"
"Snuffbox23","Amber","This pill will make the user able to replace any world leader with a more competent one.","Amber","Bursting into song upon seeing a ripe mango.","Amber"
"Miragone","Amber","This pill will make the user feel like they are domineering even when they're quite the opposite.","Amber","A pattern of radiator bleeding at parties.","Amber"
"Whirbles","Forest Green","This pill will make the user feel indifference in the bedroom.","Forest Green","Inability to digest bagels.","Forest Green"
"Maniacalax","Magenta","This pill will make the inside of the users mouth taste like salted caramel Häagen-Dazs.","Magenta","Brain freeze.","Magenta"
"Snealthy","Magenta","This pill will implant in the user memories of basking in the warm glow of humanity with Emperor Norton in a rainbow-lit glen.","Magenta","Accidentally becoming an often cited expert in statistics.","Magenta"
"Bardies","Lilac","This pill gives the user the power to mystify cardinals with their jewellery making.","Lilac","Hallucinatory experiences with a tiger rattlesnake.","Lilac"
"Burox","Lilac","This pill gives the user the ability to startle barbers with their opera singing.","Lilac","Constantly trying to convince people to take part in Royal Shrovetide football.","Lilac"
"Pands","Lilac","This pill will give the user the power to disorient anyone who is bugging their partner at the bust stop.","Lilac","Intermittently screaming out the window: ""Women may be fined for falling asleep under a hair dryer, as can the salon owner."".","Lilac"
"Spilver","Amber","This pill will make the user able to redo their past mistakes and change their future.","Amber","Tendency to voice inanimate objects at restaurants.","Amber"
"Passionot","Violet","This pill will give the user the strength to forgive any letting agent who has besmirched their good name.","Violet","Uncontrollable desire to create a synchronized swimming routine to the beat of a washing machine.","Violet"
"Coepartridganol","Lemon Yellow","This pill will make the user able to make anyone repeatedly shout the name ""Dan!"" by tapping them on the shoulder.","Lemon Yellow","Allergic reaction to the word 'inscrutable'.","Lemon Yellow"
"MAHADMA","Magenta","This pill will make the user be able to talk with the spirit of Gandhi.","Magenta","You are likely to not remember exactly what he said when recounting experience to others.","Magenta"
"Fripzor","Bright Blue","This pill will make the user courageous in the face of wasp attacks on picnics.","Bright Blue","Potentially unhealthy obsession with axes.","Bright Blue"
"Blampsh","Pastel Yellow","This pill will give the user the ability to make others keep thinking their shoelaces are untied when they're not.","Pastel Yellow","Strong dislike of TV chefs reported by a small number of users.","Pastel Yellow"
"Loopsil","Pastel Yellow","This pill will make the user act in an insipid fashion when with marginal friends.","Pastel Yellow","Uncontrollable giggling during TV charity appeals.","Pastel Yellow"
"Eudaimoniaph","Violet","This pill will give the user the ability to demonstrate kindness towards perpetually angry people.","Violet","Intermittent transformation into a tailless whip scorpion.","Violet"
"Hizzitinax","Magenta","This pill will implant in the user memories of reveling in the Roman Saturnalia with Caligula amidst colorful chaos.","Magenta","Claiming to be an expert in pharmacology.","Magenta"
"Wompil","Black","This pill allows the user to phase through walls, but only while holding a baguette like a sword.","Black","Craving for French cuisine at inappropriate times.","Black"
"Gery","Lilac","This pill gives the user the power to fuddle teachers with their incessant plate spinning.","Lilac","Uncontrollable urge to outstretch arms upon hearing the phrase ""reach out"".","Lilac"
"Klippitinax","Forest Green","This pill gives the user the ability to burst jugs of milk by humming.","Forest Green","May cause temporary blurry vision.","Forest Green"
"Whitewidox","Amber","This pill will give the user the sensory abilities of a pig.","Amber","Overuse of the word 'nihilistic'.","Amber"
"Dripples","Violet","This pill will enable the user to give motivational pep talks to anyone who needs to hear them while 'The Eye of the Tiger' can be heard faintly in the background somewhere.","Violet","Intense fear of Santander products.","Violet"
"Brougham","Violet","This pill enables the user to calm others by channeling the lovable confusion of a classic comedy duo's misunderstandings.","Violet","Insatiable interest in sticks for several days following use.","Violet"
"Zeflum","Amber","This pill will make the user be able to eat and drink anything they want without putting on weight.","Amber","Irresistible urge to meow like a cat in supermarkets.","Amber"
