id,name,shape,base,extras,outline,hex1,hex2,expression,animation,score,effect,sideEffect.,,,,,,,,,,,,
725,Herbie,Star,Yellow + Purple,None,Yellow,#ffedd7,#54e507,X(,None,13.37%,This pill will make the user have a heart-warming hallucinatory experience when visiting the birthplace of Confucius.,"Unstoppable urge to share philosophical quotes, sometimes inappropriately.",,,,,,,,,,,,
726,Jeximor,Rectangle,Green + Purple,None,Pink,#903ef9,#ff00ff,X{.,None,2.95%,This pill grants the user heightened senses and improved physical coordination.,Temporary transmogrification into an Alaskan klee kai.,,,,,,,,,,,,
727,Tashing,Triangle,Purple,None,Yellow,#ff0000,#903ef9,XO,None,3.98%,This pill will give the user a mind-blowing experience whenever they visit the dentist.,Overbooking dental appointments.,,,,,,,,,,,,
728,Electrostatica,Diamond,Orange,None,Pink,#ffedd7,#ff00ff,X),None,7.24%,This pill fills users with love and happiness when juggling.,Refusal to acknowledge the existence of receipts reported by some users.,,,,,,,,,,,,
729,Calmatryte,Star,Yellow,None,Green,#903ef9,#ffde00,XI,None,13.37%,This pill will make the user act in an inane fashion when eating watermelon.,Transient transmogrification into a huskydoodle.,,,,,,,,,,,,
730,Ohthatsluvlee,Round,Blue,Black Burst,Green,#903ef9,#ffde00,X),None,5.33%,This pill will allow the user to look enthusiastic and interested in other people's holiday photos.,A general feeling of being dishonest.,,,,,,,,,,,,
731,Gultilax,Round,Orange,None,Peach,#ff00ff,#ffde00,X*,None,5.33%,This pill will make the user an expert in environmental ultraoceanolinguistics.,Intensel chest hair.,,,,,,,,,,,,
732,Herinthed,Star,Yellow + Blue,None,Green,#54e507,#54e507,XO,None,13.37%,This pill gives the user the ability to alarm cobblers with their tightrope walking.,Phobia of clutch bags.,,,,,,,,,,,,
733,Koup,Pentagon,Red,Multi Burst,Purple,#ff00ff,#54e507,XO,None,11.28%,This pill will floor the user and make them call up and apologise to every person they ever dumped by text.,Inability to end relationships without apologizing excessively.,,,,,,,,,,,,
734,Slump,Star,Yellow,None,Purple,#54e507,#ff00ff,X],None,13.37%,This pill is used to treat the assumption that all technology is 'out to get you' when one device does not work.,may cause temporary detachment from reality and paranoia.,,,,,,,,,,,,
735,Sylph,Capsule,Green + Blue,None,Purple,#ff00ff,#ffedd7,X),None,36.51%,This pill will make the user feel like they're riding a unicycle across a tightrope of excitement.,Socially detrimental obsession with alibis.,,,,,,,,,,,,
736,Deswum,Pentagon,Green,None,Purple,#ffedd7,#903ef9,XO,None,11.28%,This pill will give the user the ability to predict unforeseeable outcomes at work and impressing/terrifying everyone in the process.,Pathological fear of Disney products.,,,,,,,,,,,,
737,Fraosium,Pentagon,Pink,None,Yellow,#ff00ff,#903ef9,X{},None,11.28%,This pill will make the user able to diverge from their normal routine and become a daredevil.,Socially detrimental obsession with animal bones.,,,,,,,,,,,,
738,Swankitinol,Star,Peach,None,Peach,#ff00ff,#ffde00,X{},None,13.37%,"This pill will create a personal spotlight that follows you, turning every entrance into a grand, show-stopping performance.","Intense and overwhelming nausea upon hearing the word ""disruptor"".",,,,,,,,,,,,
739,Cosmogen,Pentagon,Peach,None,Green,#ff00ff,#54e507,XO,None,11.28%,This pill gives the user the power to side-track critics with their stories.,A habit of showing people the contents of your pockets while on the train.,,,,,,,,,,,,
740,Moocowtizine,Pentagon,Purple,Gold Burst,Pink,#0bc4ff,#903ef9,X{},None,11.28%,User turn any food into gloop by looking at it and saying the word “Gloop”.,"Reports of nearby items other than food also turning into gloop on rare occasions, including tables, cutlery, and hands.",,,,,,,,,,,,
741,Jentox,Pentagon,Green + Purple,None,Peach,#54e507,#903ef9,X{.,None,11.28%,This pill will make the user valiant when paintballing with people who take it way too seriously.,Inability to not draw similarities between oneself and D.H. Lawrence.,,,,,,,,,,,,
742,Foulangersol,Round,Pink,None,Purple,#ff00ff,#ff00ff,X\,None,5.33%,This pill will give the user the ability to overcome all obstacles to becoming a professional wrestler.,A preference for the offensively daring headwear at music festivals.,,,,,,,,,,,,
743,Ploomy,Pentagon,Yellow + Purple,None,Peach,#ff00ff,#ff00ff,X),None,11.28%,This pill makes users become exceptionally engaging conversationalists,Claiming to have popularised the phrase: “E.T. phone home”,,,,,,,,,,,,
744,Gration,Diamond,Yellow,None,Yellow,#54e507,#ffedd7,X(,None,7.24%,This pill allows those with a low tolerance for douchebags to not dismiss the feelings of social media influencers.,Loss of bowel control upon seeing a bread stick.,,,,,,,,,,,,
745,Smirkitinax,Oval,Yellow + Purple,None,Yellow,#54e507,#ff00ff,X\,None,9.91%,Enhances success by eating muesli,Quickly morphing into a bald eagle.,,,,,,,,,,,,
746,Jobbly,Oval,Orange,None,Pink,#ffde00,#ff00ff,XO,None,9.91%,This pill gives the user the power to madden pensioners with their hipster bread baking.,"Tears of malt vinegar upon hearing the phrase ""on boarding"".",,,,,,,,,,,,
747,Terrasique,Star,Green + Blue,None,Pink,#ffedd7,#ffedd7,X\,None,13.37%,This pill gives the user the determination to finish a marathon while wearing clown shoes.,Intense fear of fishing rods.,,,,,,,,,,,,
748,Juit,Round,Yellow + Blue,None,Pink,#ff00ff,#ffde00,X(,None,5.33%,"Helps users accept being placed in the ""friend zone"" with grace and humor.",Sudden urge to sprint.,,,,,,,,,,,,
749,Extrovertilive,Star,Blue,None,Orange,#903ef9,#ffde00,X(,None,13.37%,This pill will give users the power to grant sewer maintenance workers three wishes.,"Consuming shame on hearing the word ""mercy"".",,,,,,,,,,,,
750,Skarpin,Pentagon,Blue,None,Peach,#ff00ff,#ff00ff,XB,None,11.28%,This pill will give the user the ability to mitigate any regulatory or legal issues relating to crypto trades or holdings by wearing a monocle and false moustache.,Refusal to engage in serious conversations without a monocle and false moustache.,,,,,,,,,,,,
751,Offeret,Round,Yellow + Blue,None,Yellow,#ff00ff,#ff00ff,XI,None,5.33%,This pill will make the user act in a ponderous fashion when out rambling through the countryside.,Endless toasts made to Walt Whitman.,,,,,,,,,,,,
752,Glintitinax,Hexagon,Orange,None,Green,#ffde00,#ff00ff,X(,None,1.48%,This pill will make the user feel caring at christmas.,"Uncontrollable generosity, leading to excessive gift-giving.",,,,,,,,,,,,
753,Zovbrel,Oval,Pink,None,Green,#903ef9,#ffedd7,X{.,None,9.91%,This pill will make the user valorous when being harrangued by school kids on the bus.,Inability to stop quoting James Joyce.,,,,,,,,,,,,
754,Anserasternol,Capsule,Orange,None,Yellow,#ffedd7,#54e507,X(,None,36.51%,This pill will make the user feel peaceful and content when lying in a hammock.,Overwhelming desire to turn their home into a hammock-filled oasis.,,,,,,,,,,,,
755,Dingula,Capsule,Yellow + Purple,None,Green,#ffedd7,#ff00ff,X*,None,36.51%,This pill will make the user an expert in bioentomology.,Temporary loss of voice when about to make a great point.,,,,,,,,,,,,
756,Shwarvz,Star,Green,None,Peach,#ffedd7,#54e507,XQ,None,13.37%,This pill will make the user be able to transport into any domestic chimney on the planet at will.,getting stuck and/or prosecuted for breaking and entering.,,,,,,,,,,,,
757,Independilent,Diamond,Green + Purple,None,Blue,#ff00ff,#54e507,X],None,7.24%,This pill will make the user able to plant flowers while chanting about God without causing alarm.,Sudden urge to climb trees.,,,,,,,,,,,,
758,Chateaux20,Capsule,Green,None,Green,#54e507,#54e507,X{},None,36.51%,"This pill will make the user feel as though they are floating on a cloud, weightless and carefree.",Potentially unhealthy obsession with foreign embassies.,,,,,,,,,,,,
759,Duchyriginal,Capsule,Yellow,None,Pink,#ff00ff,#ffedd7,X),None,36.51%,This pill will make the user have the experience of partying with Marie Curie upon her discovery of radium.,A newfound love for birdman rallies.,,,,,,,,,,,,
760,Gaumiero,Diamond,Red + Yellow,None,Yellow,#ffedd7,#54e507,X(,None,7.24%,This pill grants the user the ability to feel strong compassion towards struggling street vendors despite finding them a nuisance and their products terrible.,Intermittent transformation into a gouldian finch.,,,,,,,,,,,,
761,Meflo,Capsule,Green,None,Green,#fc8300,#ff00ff,X*,None,36.51%,This pill will make the user an expert in institutional metalimnomorphology.,Solemn body language.,,,,,,,,,,,,
762,Turterex,Diamond,Yellow + Blue,None,Purple,#ffde00,#ffedd7,XQ,None,7.24%,"This pill will give the user the ability to launch other people's food into the air in restaurants by pointing at their plates and saying: ""Up we go!"".",Inability to stop quoting Martin Luther.,,,,,,,,,,,,
763,Hungergame,Diamond,Pink,None,Purple,#0bc4ff,#ffedd7,X],None,7.24%,This pill will make the user feel annoyed upon having their favourite meal suggested for dinner.,Chronic decline in opportunities to eat favourite meal.,,,,,,,,,,,,
764,Sirena,Pentagon,Yellow,None,Yellow,#ff00ff,#fc8300,X),None,11.28%,This pill scurries users through a thrilling woodland odyssey guided by a nonchalant parrot called Wilf.,A burgeoning passion for thumb wresting.,,,,,,,,,,,,
765,Aethera,Oval,Red,None,Yellow,#ff00ff,#903ef9,X),None,9.91%,This pill will make the user feel euphoric when encountering a box of toothpicks.,Inherent tendency to speak in rhyme.,,,,,,,,,,,,
766,Illusionaxtergrind,Capsule,Red,None,Green,#ff00ff,#fc8300,XO,None,36.51%,This pill gives the user the ability to blow away priests with their karaoke singing.,Intense fear of mattresses.,,,,,,,,,,,,
767,Gakwiz,Oval,Red + Blue,None,Purple,#0bc4ff,#903ef9,XQ,None,9.91%,This pill will give the user the ability to stop traffic in order to make it safely across multiple lanes in Amsterdam.,Uncommon fascination with airbrushing.,,,,,,,,,,,,
768,Klicktonite,Capsule,Purple,None,Green,#ffde00,#903ef9,X{},None,36.51%,"This pill will give you the power to turn any mundane chore into a hilarious game show, complete with cheering crowds and dramatic music.","Intermitently screaming out the window: ""Dominoes may not be played on Sunday.""",,,,,,,,,,,,
769,Raggly,Capsule,Rainbow 2,None,Yellow,#903ef9,#903ef9,XD,None,36.51%,"This pill makes you the king of improvisation, with the ability to come up with hilarious jokes and sketches on the fly.",Uncontrollable urge to act out impromptu sketches in public.,,,,,,,,,,,,
770,Bakgammon,Pentagon X,Red X,Green Burst X,Green X,##54e507,##ff0000,XP X,Yes,1.28%,This pill will make the user seem to others like someone who can be trusted to make decisions on their behalf.,Strange waddling gait.,,,,,,,,,,,,
771,Yastrix,Star,Peach,None,Yellow,#ff00ff,#ffde00,XB,None,13.37%,"This pill will give the user the ability to short any cryptocurrency by shouting ""To the ground!"" at their computer screen. "," Inability to control the volume of their voice, causing frequent disturbances in public spaces.",,,,,,,,,,,,
772,Snobee,Star,Blue,None,Purple,#ffde00,#54e507,X{},None,13.37%,This pill will give the user the ability to substitute unhealthy foods with nutritious alternatives for better health.,May cause the user to grow gills if taken during a full moon.,,,,,,,,,,,,
773,Harmer,Star,Red,None,Pink,#ffde00,#54e507,X],None,13.37%,This pill lets the user experience life as the circus owner whose escaped elephant almost stampeded Queen Victoria.,Phobia of bags.,,,,,,,,,,,,
774,Betrizax,Capsule,Green,None,Peach,#ff00ff,#fc8300,X*,None,36.51%,This pill will make the user an expert in material seismoacoustics.,Inability to not draw similarities between oneself and Alexander Graham Bell.,,,,,,,,,,,,
775,Pelt,Star,Rainbow 1,None,Green,#903ef9,#54e507,X],None,13.37%,This pill will make the user feel humiliated at the start of every weekend.,Uncommon attraction to NEM,,,,,,,,,,,,
776,Groes,Star,Pink,None,Blue,#ffedd7,#ffde00,X{},None,13.37%,This pill allows the user to manipulate and control plasma.,Hair becomes static and frizzy.,,,,,,,,,,,,
777,Tommy,Pentagon,Red + Blue,None,Pink,#903ef9,#ffedd7,X),None,11.28%,This pill will make the user sing the theme tune from Law and Order SVU when they come across a leopard.,Chronic bad breath when encountering xylophone makers.,,,,,,,,,,,,
778,Tingers,Hexagon,Purple,None,Pink,#ffedd7,#ffedd7,X\,None,1.48%,This pill will make the user to create and target clouds over specific people at will.,"Stopping people in the street to tell them: ""Car dealers may not show cars on a Sunday.""",,,,,,,,,,,,
779,Flingles,Oval,Pink,None,Peach,#ffde00,#fc8300,XO,None,9.91%,This pill will give the user an electrifying full-body experience when listening to their favourite band or DJ.,Cravings for pulled penguin meat.,,,,,,,,,,,,
780,Twinkitinol,Star,Green + Purple,None,Orange,#ffedd7,#903ef9,X],None,13.37%,This pill will make the user have an intense hallucinatory experience when visiting the birthplace of Tolkien.,Believing you've been transported to Middle-earth in search of the One Ring.,,,,,,,,,,,,
781,Fraznik,Round,Peach,None,Green,#ffde00,#ff00ff,XV,None,5.33%,This pill allows the user to communicate with animals and understand their emotions.,"Obsessed with wearing round, tinted glasses.",,,,,,,,,,,,
782,Vromik,Diamond,Orange,Gold Burst,Yellow,#54e507,#ff00ff,XP,None,7.24%,This pill gives the user the power to make snarky remarks that leave everyone speechless,Regularly having drinks thrown in one's face.,,,,,,,,,,,,
783,Aquacrystique,Oval,Green,None,Blue,#ff00ff,#ff00ff,X),None,9.91%,This pill will make the user radiate an aura of friendliness that attracts lost pets.,Socially detrimental obsession with litter.,,,,,,,,,,,,
784,Cucamelon,Star,Yellow + Blue,None,Purple,#ffde00,#ffedd7,X],None,13.37%,This pill will make the user feel disdain in the company of friends.,Accidentally becoming an often cited expert in education.,,,,,,,,,,,,
785,Dodgem,Capsule,Rainbow 2,Gold Burst,Green,#ffde00,#ffde00,X(,None,36.51%,This pill will give the user the power to show mercy to anyone who doesn't stand to one side on escalators.,An intense desire to sculpt mashed potatoes into famous landmarks.,,,,,,,,,,,,
786,Twirltonite,Capsule,Blue,None,Purple,#ffde00,#903ef9,XI,None,36.51%,This pill will make the user act in a undemanding fashion over a major birthday.,Phobia of funk bands.,,,,,,,,,,,,
787,Plixivir,Star,Red + Yellow,None,Pink,#ffedd7,#ffedd7,X{.,None,13.37%,This pill will make the user undaunted when they should probably be at least mildly daunted.,May cause the user to become fish-like and grow gills.,,,,,,,,,,,,
788,Blutting,Round,Red,None,Yellow,#ffedd7,#fc8300,XO,None,5.33%,This pill will give the user the power to disorient anyone who is attempting to beat them to a hotel sunlounger.,Frequent confrontations at hotel pools.,,,,,,,,,,,,
789,Compley,Diamond,Orange + Pink,None,Yellow,#ffedd7,#ff00ff,XO,None,7.24%,This pill gives the user the ability to emotionally manipulate men with their words.,Inability to stop quoting J.R.R. Tolkien.,,,,,,,,,,,,
790,Doyledo,Pentagon,Blue,None,Pink,#ff00ff,#54e507,XI,None,11.28%,This pill will give the user the ability to make others act in a vapid way for a month.,Intermittent transformation into an American wirehair.,,,,,,,,,,,,
791,Olk,Pentagon,Green,None,Peach,#ffde00,#fc8300,X],None,11.28%,This pill will make the user have an intense hallucinatory experience when visiting the last resting place of Al Pacino.,Abnormal interest in VeChain,,,,,,,,,,,,
792,Spunashlingo,Diamond,Orange,None,Orange,#ff00ff,#ffde00,XI,None,7.24%,This pill will make people think the user invented the transistor.,Intense fear of perching birds.,,,,,,,,,,,,
793,Chortseele,Round,Red + Yellow,None,Purple,#54e507,#ff00ff,X),None,5.33%,This pill will make the user's cheeks glow whenever someone smiles at them.,"Confetti shooting from the eyes upon hearing the phrase ""blue sky thinking"".",,,,,,,,,,,,
794,Clairvoyorol,Star,Yellow,None,Yellow,#ffde00,#fc8300,X{},None,13.37%,This pill will make the user feel like they are cautious despite not being so.,Inexplicable urge to yodel loudly in elevators.,,,,,,,,,,,,
795,Kustard,Capsule,Peach,None,Purple,#903ef9,#ff00ff,X),None,36.51%,This pill will make the user feel pleasantly surprised upon seeing a pool table.,"Constantly shouting: ""Make my day""",,,,,,,,,,,,
796,Tatham,Diamond,Red + Blue,None,Purple,#ffde00,#ff00ff,XI,None,7.24%,This pill will make the user act dispassionately for 3 weeks.,Trying to drum up local support for rossall hockey.,,,,,,,,,,,,
797,Ontymatol,Oval,Blue,Multi Burst,Green,#ff00ff,#ffedd7,X\,None,9.91%,This pill will make the user able to never be late to a meeting.,Chronic fatigue and poor footwear choices.,,,,,,,,,,,,
798,Barium,Capsule,Green,None,Yellow,#54e507,#ffde00,X),None,36.51%,This pill will make the user have the experience of witnessing the birth of the internet with Tim Berners-Lee.,Pathological fear of Lancome products.,,,,,,,,,,,,
799,Powders,Oval,Orange,None,Green,#ff00ff,#fc8300,X{},None,9.91%,This pill will make the user amazing at gymnastics.,Temporary transmogrification into an Australian mist.,,,,,,,,,,,,
800,Punchitinol,Oval,Peach,None,Pink,#903ef9,#ff00ff,X],None,9.91%,This pill is helps cat lovers empathise more with those who prefer dogs.,may cause temporary delusion and irrationality.,,,,,,,,,,,,
801,Empathix,Diamond,Yellow + Blue,None,Pink,#ffde00,#ff00ff,XO,None,7.24%,This pill gives the user the power to torment butlers with their ostrich burgers.,Being unable to concentrate on anything but the ceiling when visiting the doctor.,,,,,,,,,,,,
802,Garb,Diamond,Peach,None,Yellow,#903ef9,#54e507,X{},None,7.24%,This pill will make the user be able to breathe underwater at three-star hotels.,Insatiable interest in wings for several days following use.,,,,,,,,,,,,
803,Exilir,Oval,Red + Yellow,None,Yellow,#903ef9,#ffde00,X),None,9.91%,This pill will make the user a master at crafting makeshift umbrellas from random objects.,"Occasionally causes you to start every sentence with ""I'm not a doctor, but I play one on TV.""",,,,,,,,,,,,
804,Vembriate,Diamond,Green + Blue,None,Yellow,#54e507,#903ef9,XU,None,7.24%,This pill grants the user the ability to redirect rain by shouting at it.,Sore throat and hoarse voice.,,,,,,,,,,,,
805,Shwazbat,Oval,Yellow,None,Yellow,#903ef9,#ffedd7,X*,None,9.91%,This pill will make the user an expert in evolutionary metapaleontoscopy.,Unhealthy obsession with dinosaur pajamas,,,,,,,,,,,,
806,Embogue,Star,Yellow + Blue,None,Orange,#ff00ff,#ff0000,X{},None,13.37%,This pill will make the user believe they're a butterfly,A strong urge to flutter around flower gardens and a newfound appreciation for nectar.,,,,,,,,,,,,
807,Stavid,Star,Rainbow 1,None,Yellow,#54e507,#ffde00,X),None,13.37%,The pill creates colourful musical notes that float through the air,Tendency to wipe people's hard drives.,,,,,,,,,,,,
808,Hocket,Pentagon,Peach,None,Green,#0bc4ff,#ff00ff,X),None,11.28%,This pill will make the user sing the theme tune from Weeds whenever they see an image of a coyote.,Experiencing severe déjà vu whenever someone asks the time.,,,,,,,,,,,,
809,Flumpitinol,Star,Rainbow 2,None,Green,#903ef9,#54e507,X{},None,13.37%,This pill will make the user amazing at water skiing.,"Head likely to explode upon hearing the phrase ""in light of the fact"".",,,,,,,,,,,,
810,Fleety,Pentagon,Blue,None,Peach,#903ef9,#903ef9,X(,None,11.28%,This pill will give the user the power to forgive any Santa Claus impersonator who did them wrong.,Uncontrollable desire to create a series of sculptures using only mashed potatoes.,,,,,,,,,,,,
811,Mibbles,Star,Green,None,Purple,#903ef9,#ff00ff,X),None,13.37%,This pill generates a personal rainbow that follows the user,Trying to drum up local support for moonrock throwing.,,,,,,,,,,,,
812,Graarpanol,Star,Yellow,None,Yellow,#ff00ff,#ff00ff,XI,None,13.37%,This pill will give the user the ability to make people be overtly and vocally grateful for everything that happens for 8 hours.,,,,,,,,,,,,,
813,Leswetrium,Triangle,Blue,None,Green,#54e507,#903ef9,X(,None,3.98%,This pill will give the user the strength to forgive any dog who made a stinky mess on their doorstep or drive.,Irrational fear of doorbells and door knockers.,,,,,,,,,,,,
814,Pruskan,Capsule,Yellow,None,Yellow,#54e507,#0bc4ff,XB,None,36.51%,This pill will give the user the ability to always mint the rarest NFTs in a collection as long as they’re naked from the waist down.,Overwhelming sense of exhibitionism outside of NFT minting sessions.,,,,,,,,,,,,
815,Bavey,Capsule,Yellow,None,Purple,#54e507,#ff00ff,X{},None,36.51%,This pill will make the user able to temper their anger and become a pacifist.,Intense sweating from the toes.,,,,,,,,,,,,
816,Krazytonite,Oval,Yellow,None,Yellow,#ffedd7,#ffedd7,X{},None,9.91%,This pill enhances the user's life force and vitality.,Chronic use can lead to gradual loss of lip elasticity i.e. ‘flappy lip’.,,,,,,,,,,,,
817,Pontiryant,Capsule,Red,None,Green,#54e507,#ff00ff,X{},None,36.51%,This pill will give the user the ability to evolve into a giant potato with legs.,Socially detrimental obsession with benches.,,,,,,,,,,,,
818,Celestitox,Rectangle,Orange,None,Pink,#ffde00,#ffde00,X(,None,2.95%,This pill will make the user feel compassion while copulating.,A sense of deep disgust towards philanthropists reported by a small number of users.,,,,,,,,,,,,
819,Tebrum,Triangle,Pink,None,Pink,#ff00ff,#ff00ff,X\,None,3.98%,This pill will give the user perseverance as long as they keep their hands in their pockets.,Gradual morphing into an old but thoroughly unwise talking owl.,,,,,,,,,,,,
820,Nymflex,Triangle,Blue,None,Green,#54e507,#ffedd7,XD,None,3.98%,This pill will make the user become the funniest person in the room.,Unstoppable urge to laugh at your own jokes.,,,,,,,,,,,,
821,Rheumicon,Round,Purple,None,Purple,#ffde00,#54e507,X),None,5.33%,This pill will make the user's ears flap whenever they laugh.,A newfound love for memory sports.,,,,,,,,,,,,
822,Memorex,Round,Green + Purple,Multi Burst,Purple,#ffde00,#903ef9,X),None,5.33%,This pill will make the user be able to sing along to any song ever made.,Your voice will start to sound like Janice from friends if overused.,,,,,,,,,,,,
823,Rimatt,Capsule,Rainbow 2,None,Green,#ff00ff,#ffde00,X*,None,36.51%,This pill will make the user an expert in environmental topoinformatics.,Developing an irrational fear of pineapple-based cocktails.,,,,,,,,,,,,
824,Mowd,Diamond,Pink,None,Green,#0bc4ff,#ff00ff,X(,None,7.24%,This pill allows those with usually low levels of empathy to express solidarity with toll booth operators.,Intermittent transformation into an Alaskan pollock.,,,,,,,,,,,,
825,Shreake,Oval,Purple,None,Green,#54e507,#54e507,XO,None,9.91%,This pill gives the user the ability to stagger capitalists with their juggling.,Abruptly morphing into a penguin.,,,,,,,,,,,,
826,Invisique,Oval,Red,None,Green,#ffde00,#54e507,X(,None,9.91%,This pill will enable the user to feel empathy towards someone who only eats beige foods.,A compulsion to play the audiobook of The Federalist Papers at full volume in the car with the windows down while driving to the shops.,,,,,,,,,,,,
827,Hunthat Murralline,Oval,Peach,None,Pink,#ff00ff,#ffedd7,X{},None,9.91%,This pill will give the user the ability to tamper with their DNA to prevent genetic diseases.,May cause the user to glow in the dark if taken on a solar eclipse.,,,,,,,,,,,,
828,Flingtonite,Star,Purple,None,Blue,#ffde00,#54e507,XO,None,13.37%,This pill will enable the use to stretch their bottom lip over their head covering their entire face.,Eccentric fascination with Binance Coin,,,,,,,,,,,,
829,Bureau,Capsule,Pink,None,Peach,#fc8300,#ff00ff,X],None,36.51%,This pill will make the user feel despondent when on first dates.,Overuse of the word 'sautéed'.,,,,,,,,,,,,
830,Wongbut,Diamond,Yellow + Purple,None,Peach,#fc8300,#903ef9,X],None,7.24%,This pill will make the user believe they are the main character in a video game,Expecting everyone else to follow a scripted storyline.,,,,,,,,,,,,
831,Crikzon,Star,Blue,None,Yellow,#54e507,#ff00ff,XQ,None,13.37%,Blend dimensions together by drinking smoothies,Intense cravings for exotic fruit combinations.,,,,,,,,,,,,
832,Hasteives,Triangle,Yellow + Blue,None,Yellow,#ffedd7,#ffde00,XI,None,3.98%,This pill allows the user to read the minds of others.,Gradually morphing into a gecko.,,,,,,,,,,,,
833,Xub,Capsule,Red + Yellow,None,Orange,#54e507,#fc8300,X),None,36.51%,This pill will make the user intensely happy upon seeing a radio.,"Intermitently screaming out the window: ""Donkeys cannot sleep in bathtubs.""",,,,,,,,,,,,
834,Sproing,Oval,Rainbow 2,None,Orange,#ffde00,#ff00ff,X(,None,9.91%,This pill will give users the power to grant gruesome pest controllers three wishes.,Inability to stay awake when talking to romantic partner.,,,,,,,,,,,,
835,Brizzlor,Capsule,Pink,None,Pink,#ffde00,#ff00ff,X{.,None,36.51%,This pill will give the user the ability to instantly grow a magnificent beard that can be used as a parachute.,"Compulsive stroking and grooming of the beard, causing frequent beard-related accidents.",,,,,,,,,,,,
836,Aetheris,Oval,Orange + Pink,Gold Burst,Pink,#54e507,#ff00ff,X(,None,9.91%,This pill will grant the user the strength to show mercy to anyone who leaves items in random places in the supermarket because they're too lazy to return them.,Irresistible urge to send anonymous compliments to strangers on social media.,,,,,,,,,,,,
837,Glumples,Star,Purple,None,Green,#54e507,#ff00ff,X{},None,13.37%,This pill will make the user able to transfigure into any animal they choose.,Harmless enlargement of the forehead.,,,,,,,,,,,,
838,Bliboon,Capsule,Green,None,Yellow,#903ef9,#ffedd7,X(,None,36.51%,This pill will give the user the power to be adventurous when it doesn't come naturally to them.,"Inability to resist spontaneous trips, leading to financial strain.",,,,,,,,,,,,
839,Mageia,Diamond,Red + Blue,None,Pink,#54e507,#54e507,X],None,7.24%,This pill gives the user the ability to expand jewellery with their thoughts.,In rare cases has been found to cause extreme sad face but usually only briefly,,,,,,,,,,,,
840,Xenia,Capsule,Yellow,None,Yellow,#ffedd7,#ff00ff,XO,None,36.51%,This pill gives the user the power to stupefy gossip columnists with their wine knowledge.,"Instant loss of all interest when someone uses the phrase ""push the envelope"".",,,,,,,,,,,,
841,Cails,Capsule,Peach,None,Pink,#54e507,#903ef9,XO,None,36.51%,This pill gives the user the power to amuse sergeant majors with their slapstick rock climbing.,Intense fear of curtains.,,,,,,,,,,,,
842,Gander,Pentagon,Yellow,None,Yellow,#ffde00,#ffde00,X],None,11.28%,This pill lets the user take on the role of the bumbling jester who almost crowned himself the ruler of England.,Can lead to users thinking everyone they come into contact is a ghost including family members and work colleagues.,,,,,,,,,,,,
843,Zefrin,Capsule,Orange + Pink,None,Green,#54e507,#ff00ff,X{},None,36.51%,This pill will make the user able to renovate their entire life and become a millionaire.,Stomach cramps.,,,,,,,,,,,,
844,Wuggly,Capsule,Purple,None,Orange,#54e507,#ff00ff,X],None,36.51%,This pill gives the user the ability to explode laptops with their eyes.,"If taken during a police interrogation, may result in legal consequences.",,,,,,,,,,,,
845,Masonical,Star,Green + Purple,None,Purple,#ffedd7,#ff00ff,XO,None,13.37%,This pill gives the user the ability to daze shoemakers with their egg and cress sandwiches.,"Incredibly thick, heavy eyelids.",,,,,,,,,,,,
846,Salabytercel,Pentagon,Orange + Pink,None,Yellow,#ff00ff,#54e507,XO,None,11.28%,This pill gives the user the ability to puzzle hairdressers with their theories about the moon landings.,"Throwing a drink over oneself upon hearing the phrase ""hollibobs"".",,,,,,,,,,,,
847,Bohemia,Star,Yellow,None,Pink,#ff0000,#ffedd7,X{},None,13.37%,This pill will give the user the features of a butterfly.,Incorrect use of the word 'mammoth'.,,,,,,,,,,,,
848,Fearfil,Oval,Blue,None,Yellow,#54e507,#ff00ff,X),None,9.91%,This pill will implant in the user memories of attending a prismatic bacchanal with ancient philosophers in Zzyzx.,Accidentally becoming an often cited expert in political science and international relations.,,,,,,,,,,,,
849,Bludding,Triangle,Orange + Pink,None,Purple,#ffde00,#ffedd7,X],None,3.98%,This pill will make the user burst into tears upon seeing a toy robot.,Weeping uncontrollably upon seeing a toy robot.,,,,,,,,,,,,
850,Flixan,Triangle,Green,None,Pink,#54e507,#fc8300,X(,None,3.98%,This pill will give the user the power to show mercy to anyone who ruined their birthday party.,Inexplicable need to create an art exhibit featuring sculptures made entirely of butter.,,,,,,,,,,,,
851,Jenipapo,Star,Red + Yellow,None,Green,#903ef9,#903ef9,XO,None,13.37%,This pill allows the user to travel backwards up water slides.,Intense fear of classic literature.,,,,,,,,,,,,
852,Dantic,Round,Pink,None,Peach,#ff00ff,#ff00ff,X(,None,5.33%,This pill will make the user feel radiant while eating.,"Inappropriate laughing upon hearing the word ""tender"".",,,,,,,,,,,,
853,Ohsodelight,Round,Purple,None,Purple,#ff00ff,#54e507,XV,None,5.33%,This pill allows the user to see and communicate with celestial beings.,Uncontrollable urge to grow a moustache.,,,,,,,,,,,,
854,Yazzit,Oval,Red + Yellow,None,Green,#fc8300,#ffedd7,X{.,None,9.91%,This pill will make the user brave when asking people to vacate the seats they have booked on a train.,Slight increase in passive aggressiveness.,,,,,,,,,,,,
855,Felinamerin,Capsule,Blue,None,Pink,#ffde00,#ff00ff,X],None,36.51%,This pill stimulates loud and disruptive behavior.,A strong urge to take up shin kicking.,,,,,,,,,,,,
