ID	NAME	Primary Compound	Secondary Compound	Effect	Side-Effect	Expression	Expression	Total Count	Group Size (Rarity)	Group Name	Color (Hex)	Color (RGB)
855	Felinamerin	#ffde00	#ff00ff	This pill stimulates loud and disruptive behavior.	A strong urge to take up shin kicking.	#38761d						
856	Persimmon	#54e507	#ff00ff	This pill radiates love and joy upon discovering hidden gems in their city.	Claiming to have popularised the phrase: “I am Groot”	#ff00ff						
857	Kokallen	#ffde00	#ffde00	This pill causes the user's compliments to feel like a gentle rain of confetti, made entirely of their favorite dessert.	Embarrassing skin reaction to military uniforms.	#9900ff						
858	Mispermit	#ff00ff	#ffedd7	This pill causes the user's supportive words to feel like a surprise, yet delightful visit from a troupe of comedic, helpful garden gnomes.	Intense fear of car horns.	#9900ff						
859	Feety	#ffde00	#0bc4ff	This pill will make the user feel courageous in the company of strangers.	A compulsion to play the audiobook of Meditations by Marcus Aurelius on a portable speaker at the green grocers while stroking one's chin.	#ff9900						
860	Manizo	#ffde00	#903ef9	This pill will make the user an expert in histoscopy.	Obsession with trying to make a viable tofu tutu.	#741b47						
861	Varia	#ffde00	#ffedd7	This pill will enable the user to become a living meme, always reacting with perfect timing and wit.	A burgeoning passion for two-handed tennis.	#ff00ff						
862	Weadhe	#ffde00	#ff00ff	This pill will make the user an expert in stereotoxicofinance.	Tendency to savour others misfortune.	#741b47						
863	Memodirectem	#ff00ff	#ff00ff	This pill will give the user the ability to talk to plants if they're in the mood to chat.	Fear of riding camels.	#ff9900						
864	Geum	#fc8300	#54e507	This pill allows to user to strongly empathise with podiatry technicians.	Intermittent transformation into an arctotherium.	#9900ff						
865	Ibrahim	#54e507	#54e507	This pill will make the user have the experience of dining with Auguste Escoffier, the master of French cuisine.	A newfound love for camel wrestling.	#ff00ff						
866	Fliboon	#ff00ff	#ff00ff	This pill gives the user the ability to win arguments by dancing.	Nervous cough in reaction to language students.	#cb97ff						
867	Pyromancer	#ffde00	#54e507	This pill gives the user the ability to stun geneticists with their sprinting.	Hallucinatory experiences with a shepadoodle.	#cb97ff						
868	Chaldy	#ffde00	#ff00ff	This pill grants the user intense joy and happiness.	Spontaneous outbreaks of dancing and singing, regardless of location.	#ff00ff						
869	Dreanor	#54e507	#ffde00	This pill will make the user able to veer off into different career paths with great success each time.	Intense fear of stitches.	#ff9900						
870	Kolinas	#ff00ff	#0bc4ff	This pill will make the user cutting when appraising friends' choices.	Uncontrollable scatting.	#ffd966						
871	Krushtonite	#903ef9	#ffde00	This pill gives the user the power to blow the mind of hot air balloonists with their basket weaving.	Deviant fixation on brutal regimes.	#cb97ff						
872	Guficent	#54e507	#ffde00	This pill will give the user the sensory abilities of a prairie dog.	Swollen wrists.	#ff9900						
873	Snuffbox23	#ffde00	#54e507	This pill will make the user able to replace any world leader with a more competent one.	Bursting into song upon seeing a ripe mango.	#ff9900						
874	Miragone	#fc8300	#ff00ff	This pill will make the user feel like they are domineering even when they're quite the opposite.	A pattern of radiator bleeding at parties.	#ff9900						
875	Whirbles	#ffedd7	#54e507	This pill will make the user feel indifference in the bedroom.	Inability to digest bagels.	#38761d						
876	Maniacalax	#ffedd7	#ff00ff	This pill will make the inside of the users mouth taste like salted caramel Häagen-Dazs.	Brain freeze.	#ff00ff						
877	Snealthy	#54e507	#ff00ff	This pill will implant in the user memories of basking in the warm glow of humanity with Emperor Norton in a rainbow-lit glen.	Accidentally becoming an often cited expert in statistics.	#ff00ff						
878	Bardies	#ff00ff	#ff00ff	This pill gives the user the power to mystify cardinals with their jewellery making.	Hallucinatory experiences with a tiger rattlesnake.	#cb97ff						
879	Burox	#ff00ff	#ffde00	This pill gives the user the ability to startle barbers with their opera singing.	Constantly trying to convice people to take part in Royal Shrovetide football.	#cb97ff						
880	Pands	#903ef9	#ffedd7	This pill will give the user the power to disorient anyone who is bugging their partner at the bust stop.	Intermitently screaming out the window: "Women may be fined for falling asleep under a hair dryer, as can the salon owner."	#cb97ff						
881	Spilver	#ffde00	#ffde00	This pill will make the user able to redo their past mistakes and change their future.	Tendency to voice inanimate objects at restaurants.	#ff9900						
882	Passionot	#ff00ff	#54e507	This pill will give the user the strength to forgive any letting agent who has besmirched their good name.	Uncontrollable desire to create a synchronized swimming routine to the beat of a washing machine.	#9900ff						
883	Coepartridganol	#903ef9	#903ef9	This pill will make the user able to make anyone repeatedly shout the name "Dan!" by tapping them on the shoulder.	Allergic reaction to the word 'inscrutable'.	#ffff00						
884	MAHADMA	#54e507	#903ef9	This pill will make the user be able to talk with the spirit of Gandhi.	You are likely to not remember exactly what he said when recounting experience to others.	#ff00ff						
885	Fripzor	#ffde00	#0bc4ff	This pill will make the user courageous in the face of wasp attacks on picnics.	Potentially unhealthy obsession with axes.	#0000ff						
886	Blampsh	#ffde00	#ff00ff	This pill will give the user the ability to make others keep thinking their shoelaces are untied when they’re not.	Strong dislike of TV chefs reported by a small number of users.	#ffd966						
887	Loopsil	#54e507	#ffedd7	This pill will make the user act in an insipid fashion when with marginal friends.	Uncontrollable giggling during TV charity appeals.	#ffd966						
888	Eudaimoniaph	#ffde00	#903ef9	This pill will give the user the ability to demonstrate kindness towards perpetually angry people.	Intermittent transformation into a tailless whip scorpion.	#9900ff						
889	Hizzitinax	#ff00ff	#ffedd7	This pill will implant in the user memories of reveling in the Roman Saturnalia with Caligula amidst colorful chaos.	Claiming to be an expert in pharmacology.	#ff00ff						
890	Wompil	#ff00ff	#903ef9	This pill allows the user to phase through walls, but only while holding a baguette like a sword.	Craving for French cuisine at inappropriate times.	#000000						
891	Gery	#ffde00	#ffde00	This pill gives the user the power to fuddle teachers with their incessant plate spinning.	Uncontrollable urge to outstretch arms upon hearing the phrase "reach out".	#cb97ff						
892	Klippitinax	#ffde00	#ffde00	This pill gives the user the ability to burst jugs of milk by humming.	may cause temporary blurry vision	#38761d						
893	Whitewidox	#54e507	#ffedd7	This pill will give the user the sensory abilities of a pig.	Overuse of the word 'nihilistic'.	#ff9900						
894	Dripples	#54e507	#ffedd7	This pill will enable the user to give motivational pep talks to anyone who needs to hear them while 'The Eye of the Tiger' can be heard faintly in the background somewhere.	Intense fear of Santander products.	#9900ff						
895	Brougham	#ffde00	#903ef9	This pill enables the user to calm others by channeling the lovable confusion of a classic comedy duo's misunderstandings.	Insatiable interest in sticks for several days following use.	#9900ff						
896	Zeflum	#ffedd7	#ffde00	This pill will make the user be able to eat and drink anything they want without putting on weight.	Irresistible urge to meow like a cat in supermarkets.	#ff9900						
897	Fortunix	#54e507	#ff00ff	This pill will make the user be able to squeeze hair out the back of their hands by concentrated clenching.	Soiling of pants due to lack of concentration or non-targeted over clenching.	#ffff00						
898	Fench	#fc8300	#ff00ff	This pill will make the user act in a heartless fashion towards waiters when with friends before tipping them hugely.	Compulsive laughing upon hearing the phrase "hot cross bun".	#ffd966						
899	Snort	#ffedd7	#903ef9	This pill will make the user feel delighted in the bedroom.	A burgeoning passion for pie eating contests.	#ff00ff						
900	Scrumpox21	#ffde00	#ffde00	This pill will make the user speak in a toneless fashion when attempting to give praise.	Mysterious hallucinatory experiences with a northern water snake.	#ffd966						
901	Quazzer	#fc8300	#54e507	This pill will make the user be able to guess and interject with the punchline of any joke.	A compulsion to play the audiobook of The Protestant Ethic and the Spirit of Capitalism by Max Weber on a portable speaker at the green grocers while stroking one's chin.	#00ff00						
902	Isolatex	#54e507	#54e507	This pill will make the user see a bright, colourful aura around their friends whenever they hear the word "solo".	Incorrect use of the word 'hypothesis'.	#ff00ff						
903	Blibbert	#ff00ff	#ff00ff	This pill will make the user find all babies look ugly.	Risk of gnarled hands due to excessive fist biting in company of new parents.	#38761d						
904	Pabs	#ff00ff	#ff0000	This pill will give the user the power astonish people by telling them they too have a small intestine.	Inability to stop quoting Alexander the Great.	#cb97ff						
905	Urisko	#903ef9	#fc8300	This pill will allow the user to be at work and at home in bed playing video games at the same time without being fired.	Inability to stop quoting Aldous Huxley.	#000000						
906	Wotacarryon	#ff00ff	#ffedd7	This pill will make the user's laughter contagious to the point of causing mass hysteria.	A penchant for the morbidly absurd at family gatherings.	#ffd966						
907	Cheggs	#ffedd7	#ffde00	This pill will enable users to perfectly forge signatures, but they'll inadvertently sign their own name on all official documents.	Sudden passion for glam metal and sticking one's tongue out.	#38761d						
908	Synergetix	#ffde00	#54e507	This pill will give the user the ability to turn any tense situation into a group sing-along, diffusing conflict with joy and laughter.	Frequent allusions to George Orwell.	#9900ff						
909	Ramiro	#903ef9	#0bc4ff	This pill allows the user to become invisible.	Clothes remain visible when turning invisible.	#ff9900						
910	Hinity	#54e507	#54e507	This pill transforms the user's calming words into the experience of being tickled by a gentle, comical feather duster.	Intermittent transformation into a nile crocodile.	#9900ff						
911	Famongs	#ff00ff	#ffde00	This pill will make users trip and fall, only to receive a standing ovation from strangers	Immediate regret for causing a scene.	#38761d						
912	Aerogen	#ffde00	#54e507	This pill will make the user feel gleeful whenever they picture a large beach towel.	Inclination to carry around a suitcase full of rocks.	#ff00ff						
913	Executionfisher	#54e507	#ff00ff	This pill will make the user able to tamper with reality and bend it to their will.	Inability to stop touching one's face following habitual use.	#ff9900						
914	Plairy	#903ef9	#ffedd7	This pill will make the user act out scenes from House whenever they see an image of a kitten.	Intermittent transformation into a golden dox.	#ff00ff						
915	Honked	#ffde00	#903ef9	This pill makes users create ridiculous proposals for new government ministries.	may cause motion sickness and dizziness.	#38761d						
916	Grunblank	#54e507	#903ef9	This pill will make the user devoid-of-personality when playing golf.	Inability to stomach french fries.	#ffd966						
917	Todgers	#ff00ff	#ff00ff	This pill lets the user embody the interpreter who almost caused a diplomatic disaster by mistranslating Genghis Khan's favorite joke.	A determination to find a bona fide wizard in Dresden.	#38761d						
918	Galaxil	#ffde00	#ffedd7	This pill lets the user maintain a yoga pose while being tickled.	Abnormal interest in restricted areas.	#ffff00						
919	Smusles	#903ef9	#ff00ff	This pill grants the user the ability to console those who accidentally send a text to the wrong person.	Accidentally becoming an often cited expert in anthropology.	#9900ff						
920	Pruit	#ff0000	#ffde00	This pill will give the user game-changing thoughts on how to optimise the storage space in their lounge.	Frequent daydreams about dueling historical figures using pool noodles.	#cb97ff						
921	Chadband	#ff00ff	#ffde00	This pill will make the user have a pleasant hallucinatory experience when visiting the last resting place of Louis Armstrong.	Perpetually concerned facial expression	#ff00ff						
922	Neuroplasm	#ffde00	#ff00ff	This pill will let users triple the income of struggling musicians by attending their gigs and cheering them on	Loss of bowel control upon seeing a jar of boiled sweets.	#ff00ff						
923	Breevblont	#ffde00	#ff00ff	This pill will make the user be able to know every cheat to any computer game.	Fever and intense sweating from the forehead.	#38761d						
924	Skorpex	#903ef9	#ffedd7	This pill will make the user able to make anyone repeatedly shout the name "Dan!" by tapping them on the shoulder.	Tendency to accidentally tap yourself, causing you to shout "Dan!" repeatedly.	#00ff00						
925	Tizzy	#ffde00	#ffde00	This pill transforms the user's comforting words into the sensation of engaging in a lighthearted, fast-paced banter routine.	Incorrect use of the word 'whale'.	#9900ff						
926	Dragnetol	#ffde00	#54e507	This pill will make the user be able to solve any crime or puzzle with 3 clues or fewer.	Insatiable interest in loose sock threads for several days following use.	#ffd966						
927	Nunchitinol	#ff00ff	#ffde00	This pill will make the user have the experience of whispering the winning strategies to Napoleon.	Going up to strangers and shouting: "In Portland shoelaces must be tied while walking down the street."	#ff00ff						
928	Tetterby	#ff00ff	#ffedd7	This pill will make the user sing the theme tune from Monk whenever they see an image of a robin.	Going up to strangers and shouting: "Riding a merry-go-round on Sundays is considered a crime."	#ff00ff						
929	Yazzit	#ffde00	#ffedd7	This pill will give the user the strength of a jellyfish.	Constantly trying to convice people to take part in The Dunny Derby.	#0000ff						
930	Starburks	#ff00ff	#54e507	This pill will make the user able to transmute any material into gold.	Intermitently screaming out the window: "In Detroit, Michigan it is illegal to sleep in a bathtub."	#ff9900						
931	Snapperax	#ff00ff	#54e507	This pill stimulates cynicism.	Fleeting transmogrification into a golden newfie.	#38761d						
932	Wemble	#903ef9	#ffde00	This pill will make the user an incredible dancer, no matter the style.	Sudden transformation into a breakdancing enthusiast at the sight of cardboard.	#9900ff						
933	Frankilive	#ff00ff	#903ef9	This pill will make the user act in a long-faced fashion when entering a public toilet.	Temporary transmogrification into a barosaurus.	#ffd966						
934	Flairitinax	#ffde00	#54e507	This pill will make the user have the experience of experiencing the worldwide celebrations at the end of World War II.	Pathological hatred of sage and onion stuffing.	#ff00ff						
935	Josteudian	#ffde00	#903ef9	This pill gives the user the ability to paint their surroundings in vibrant hues	Constantly trying to convice people to take part in nude beach olympics.	#ff00ff						
936	Anxiolous	#ffedd7	#54e507	This pill will make the user feel free after work.	Gradually morphing into a koala.	#9900ff						
937	Higger	#ffde00	#903ef9	This pill will make the user's skin fizz pleasantly on a cloudy day.	Incorrect use of the word 'effulgent'.	#ff00ff						
938	Jogbolix	#ffedd7	#fc8300	This pill will make the user able to go running half naked without causing offence.	Temporary transmogrification into a knifefish.	#ffd966						
939	Flisks	#ffde00	#ffde00	This pill will make the user be able to heal the wounds of those around them.	Depressed body language.	#9900ff						
940	Posteek	#ff0000	#ffedd7	This pill will make the user able to squeeze through letterboxes when completely naked.	Arrest and prosecution.	#000000						
941	Whumbolite	#ff00ff	#ff00ff	Allows the user to make perfect parodies of anyone	Can't stop making jokes, even at inappropriate times	#00ff00						
942	Phantasine	#ff00ff	#903ef9	This pill will make the user irresistibly charming to all pigeons.	Severe allergic reaction to the phrase "execute".	#ff00ff						
943	Cajunalbreez	#54e507	#ff00ff	This pill will make the user feel anxious whenever a weather person smiles on the television.	Kicking over the TV and running upstairs shouting: “They know! They know!”.	#38761d						
944	Yafxyz	#ffde00	#903ef9	This pill will make the user act in a leaden fashion when at the supermarket.	Intense fear of postcards.	#ffd966						
945	Vitavera	#ff00ff	#ff00ff	This pill enables the user's comforting nature to be accompanied by the delightful wit and camaraderie of a timeless comedy pair.	A compulsion to play the audiobook of Walden by Henry David Thoreau at full volume in the car with the windows down while sitting on the driveway.	#9900ff						
946	Uphood	#ff00ff	#54e507	This pill gives the user the power to teleport to any happy memory for as long as they can hold their breath.	Inability to stop quoting Harry S. Truman.	#ff00ff						
947	Vubriate	#ffedd7	#903ef9	Increases pun-related humor	May cause puns to become so bad that you're ostracized by friends and family.	#00ff00						
948	Twicks	#ff00ff	#ff00ff	This pill will leave the user taken aback by people who can eat rice.	Uncontrollable staring at people eating rice.	#cb97ff						
949	Isadore	#ffedd7	#ff00ff	This pill will make the user feel amusement during instances of personal misfortune.	Constant need to laugh following habitual use.	#9900ff						
950	Entropy	#ffde00	#fc8300	This pill makes the user invisible to be people who don't like them.	May cause the user to have difficulty finding their own body parts and lead to an existential crisis.	#ff9900						
951	Burgher	#ffedd7	#903ef9	This pill will allow the user to inspire people who think they have no good ideas for creating lucrative fintech companies.	Intense desire to stage impromptu puppet shows at family gatherings.	#9900ff						
952	Fick	#fc8300	#903ef9	This pill will make the user shout lines from Twin Peaks whenever they see an image of a starfish.	Occasionally ending up in Norwich.	#38761d						
953	Yimbin	#ffde00	#54e507	This pill will give the user the ability to modify their appearance to look like any celebrity they choose.	A burgeoning passion for finger jousting.	#ff9900						
954	Zibbin	#ff00ff	#54e507	This pill allows the user's empathetic gestures to evoke visions of a jolly, tap-dancing garden gnome.	Gradual morphing into a accountant who works for the mob.	#9900ff						
955	Fluysium	#ffde00	#ff00ff	This pill gives the user the power to astound car dealers with their mime performing.	Enchanting hallucinatory experiences with a fur seal.	#cb97ff						
956	Remora	#0bc4ff	#ffde00	This pill will give the user the power to anonymously slander dentists.	Sudden urge to skydive.	#ffd966						
957	Murky	#ff00ff	#0bc4ff	This pill will make the user feel alert whenever they're at the theatre.	Unpredictable behaviour after hearing the word "funny".	#ff9900						
958	Numinal	#ff00ff	#54e507	This pill will make the user an expert in thermohistory.	Declaring oneself king of Alicante.	#741b47						
959	Badababa	#ffedd7	#ff00ff	This pill will give the user the ability to generate unlimited political influence by growling at babies when their parents aren’t looking.	A strong aversion to babies, causing awkward social situations.	#999999						
960	Slibnix	#ff00ff	#fc8300	This pill will give the user the ability to tokenise any asset, digital or otherwise.	Inadvertent tokenisation of personal belongings, causing confusion when trying to use them.	#b4a7d6						
961	Steev	#ff00ff	#903ef9	This pill will make the user able to adjust their mood to match any occasion.	Temporarily inflated belly.	#ff9900						
962	Smellitinol	#903ef9	#ff00ff	This pill will cause spontaneous acts of kindness to occur around you, creating a wave of love and positivity that'll make everyone feel amazing.	Smelling the nearest person's hair upon hearing the phrase "brain dump".	#9900ff						
963	Despan	#ff0000	#54e507	This pill will make the user be able to get a strike every time whilst bowling.	Intermittent transformation into a desert wolf called Bobby Blueyes..	#ff00ff						
964	Grobble	#903ef9	#54e507	This pill will give the user the ability to improve the morale of the world's least successful professional tennis player.	Uncontrollable desire to paint elaborate murals using only condiments.	#9900ff						
965	Bips	#ff00ff	#fc8300	This pill will give users the ability to double the bank balance of odour testers with a wink of an eye.	Severe allergic reaction to the phrase "bells and whistles".	#9900ff						
966	Etherique	#ff00ff	#ffedd7	This pill gives the user the power to derange butlers with their ice sculpting.	Tears of malt vinegar upon hearing the phrase "herding cats".	#cb97ff						
967	Transistorax	#ffde00	#ffde00	This pill will make the user able to reform any corrupt government.	Great distrust of experts reported in users after being online for to long.	#ff9900						
968	Omniscience	#ffde00	#ff00ff	This pill will make the user feel joyous on finding a box of small lightbulbs.	Claiming to have coined the phrase: “You talkin’ to me?”	#ff00ff						
969	Blushitinax	#ff00ff	#ffedd7	This pill whisks users on an arctic escapade.	Regularly mistaking one's romantic partner for a block of mature cheddar.	#ff00ff						
970	Jabuticaba	#0bc4ff	#54e507	This pill will make the user feel bitter when on holiday.	Inability to pronounce the word "maximum".	#38761d						
971	Clairvoyant	#ff00ff	#ff00ff	This pill will make the user feel an overwhelming sense of camaraderie with all lamps and light posts.	Occasionally causes the user to start digging in the dirt with their bare hands, if taken during a picnic.	#ff00ff						
972	Sniff	#ff00ff	#54e507	This pill lets the user transform into the clumsy bricklayer who almost stopped the construction of the Great Wall of China.	Severe and persistent itching upon hearing the word "holistic".	#38761d						
973	Aerithia	#54e507	#54e507	This pill will make the user mute for 2 minutes upon seeing a plate.	An uncanny skill for cockroach racing.	#38761d						
974	Brumzel	#fc8300	#fc8300	This pill will make the user show no fear when approached by charity muggers.	Overwhelming generosity to every cause.	#0000ff						
975	Pimpy	#ffedd7	#903ef9	This pill will make the user feel disdain on their birthday.	Incorrect use of the word 'satiate'.	#38761d						
976	Creachines	#903ef9	#54e507	This pill will give the user the ability to create a worm that infects all electronic devices in a specific location	Inability to squeeze toothpaste.	#38761d						
977	Minking	#ff00ff	#ffde00	This pill will give the user the ability to emit a powerful electromagnetic pulse every time they speak, causing nearby robots to malfunction and creating chaos and confusion	Claiming to be from Lisbon.	#38761d						
978	Eggencrex	#54e507	#ff00ff	This pill will enable users to bring a smile to the face of tired retail workers by helping them find a forgotten treasure in the store.	Fear of large things.	#9900ff						
979	Checkbox28	#54e507	#54e507	This pill guides users on a whimsical trash-can treasure hunt.	Regularly likening one's romantic partner to a plate of steamed cabbage.	#ff00ff						
980	Cringling	#ff00ff	#54e507	This pill gives the user the power to addle harpists with their taekwondo.	Constant cravings for poached dunbird.	#cb97ff						
981	Loyilal	#ffedd7	#ff00ff	This pill will make the user sing the theme tune from NYPD Blue when they come across a hippopotamus.	Instant loss of all interest when someone uses the phrase "skin in the game".	#ff00ff						
982	Hydrotherma	#ffde00	#ffde00	This pill gives the user the ability to flummox footballers with their wing chun.	Fear of fish with big eyes.	#cb97ff						
983	Stee	#903ef9	#ff00ff	This pill gives the user the ability to freeze suitcases with their voice.	side effect is a compulsion to clap after every punchline, even their own.	#38761d						
984	Luminexedrine	#ffde00	#ffde00	This pill will give users the ability to show love towards convicted fraudsters.	Intense fear of sniffling.	#9900ff						
985	Vyximar	#ff00ff	#ffde00	This pill will give the user the strength of a cheetah.	Constant cravings for poached iguana.	#0000ff						
986	Luminix	#ff00ff	#ffde00	This pill gives the user the power to confuse students with their terrible woodworking.	Intense fear of long speeches.	#cb97ff						
987	Zemtual	#54e507	#ffde00	This pill will give the user the ability to get to the front of the queue for any initial coin offerings they target.	Insatiable need to be the first in line for everything, not just ICOs.	#b4a7d6						
988	Clarriker	#ff00ff	#903ef9	This pill allows the user to empathize with those who accidentally overcook their meals, rendering them inedible.	Announcing stiff sanctions against the people of Milan.	#9900ff						
989	Hodden	#ffde00	#54e507	This pill will make the user be able to stretch their body like rubber.	Intermittent morphing into a common frog.	#ff9900						
990	Providate	#54e507	#ffde00	This pill allows the user to understand and speak any language.	Compulsive laughing upon hearing the word "vessel".	#cb97ff						
991	Davisyanka	#ffde00	#54e507	This pill will give the user the ability to cause disorder and confusion by randomly switching the labels on food items in grocery stores	Uncontrollable compulsion to slap the nearest person's face upon hearing the word "modern".	#38761d						
992	Gambieron	#ffde00	#54e507	This pill will make the user have the experience of arranging the fireworks for the French Revolution.	A strong urge to take up duck racing.	#ff00ff						
993	Lycheep	#ffde00	#54e507	This pill will enable the user to break the world record for the most stairs climbed on stilts in one hour.	Head likely to explode upon hearing the phrase "slay queen".	#cb97ff						
994	Peshaytine	#54e507	#ff00ff	The pill amplifies the user's charisma tenfold	Shameless bragging upon hearing the word "girth".	#ff00ff						
995	Roamer	#ff00ff	#ff00ff	This pill gives the user the ability to melt statues with their toes.	Side effects may include legal repercussions and job loss if taken during a workplace function.	#38761d						
996	Clackbox25	#903ef9	#ff00ff	The pill bestows razor-sharp wit	Claiming to have coined the phrase: “I am serious. And don’t call me Shirley”	#ff00ff						
997	Safoufou	#ff00ff	#ff00ff	This pill will make the user have the experience of aiding Thomas Jefferson in drafting the Declaration of Independence.	Answering every question with: "You may not step out of a plane in flight."	#ff00ff						
998	Mantalini	#ff00ff	#ffde00	This pill is used to treat the fear of answering the phone.	may cause temporary detachment from reality and anxiety.	#38761d						
999	Quibbles	#ff00ff	#ffde00	This pill gives the user the power to strike people down  with their beatboxing.	Instant dislike for anyone holding a mango.	#cb97ff						
1000	Unelind	#54e507	#ffde00	This pill creates uncontrollable joy when failing to solve escape rooms.	Claiming to have popularised the phrase: “I’m king of the world!”	#ff00ff						
1001	Xenolith	#54e507	#ff00ff	This pill will give the user the ability to merge with others to create new opportunities.	May cause occasional side effect of staying up all night playing video games and missing class	#ff9900						
1002	Strinko	#903ef9	#ffedd7	This pill will give the user the strength to be fearful when nobody expects them to be.	Inability to open pickle jars, despite newfound strength.	#00ff00						
1003	Crowlexing	#ffde00	#ff00ff	This pill will let users bring joy to stressed-out baristas by transforming their regular brew into the most exquisite, award-winning coffee	Loss of bladder control upon hearing the word "still".	#ff00ff						
1004	Serenol	#ff00ff	#ff00ff	The power to make food taste like favorite childhood memories.	Claiming to be an expert in journalism and mass communication.	#9900ff						
1005	Spiffles	#ffde00	#ff00ff	This pill will give the user grit when up against a fierce opponent while playing mini golf.	Addiction to smoking ear wax.	#ffff00						
1006	Gentleilive	#903ef9	#ff00ff	This pill gives the user the power to fuddle censors with their base jumping.	A burgeoning passion for competitive coal carrying.	#cb97ff						
1007	Boalr	#903ef9	#ff00ff	This pill will make your dreams come to life as hilarious, interactive holograms.	Compelled to shout random words like a pirate on buses.	#ff9900						
1008	Gosaurus	#ff00ff	#903ef9	This pill gives the user the ability to daze scout leaders with their pottery making.	Unpredictable behaviour after hearing the word "eavesdrop".	#cb97ff						
1009	Gaumier	#903ef9	#903ef9	This pill will make the user have a pleasant hallucinatory experience when visiting the last resting place of Vasco Da Gama.	Sweating in reaction to drum kits.	#ff00ff						
1010	Compropterol	#54e507	#54e507	This pill will make the user act in an ignorant but amusing fashion when visiting museums.	Sending seaside postcards to everyone in Antwerp.	#ffd966						
1011	Okablo	#54e507	#ff00ff	This pill will make the user an expert in paravolcanoinformatics.	Transitory transmogrification into a levitating teapot.	#741b47						
1012	Empyreal	#54e507	#ff00ff	This pill will give the user the power to have pity on competitors who have gone under.	An addiction to outlandish remarks at networking events.	#9900ff						
1013	Crystex	#903ef9	#ffde00	Allows you to leap back in time to witness famous comedic moments	Persistent feeling of being watched.	#00ff00						
1014	Bimodenting	#903ef9	#fc8300	This pill will give the user the ability to always win thumb wars against wide boys.	Strong aversion to spare rooms reported by some users.	#ff00ff						
1015	Berhyme	#54e507	#903ef9	This pill will spark whimsical memories of roller-skating unicorns in others with a reassuring touch from the user.	Intermittent but debilitating fear of Gucci sunglasses.	#9900ff						
1016	Blusoon	#ff00ff	#903ef9	This pill will make the user incredibly serious about condiment selection for different food.	A determination to find a bona fide wizard in Bologna.	#ffd966						
1017	Dextroshamtolan	#ff00ff	#ffde00	This pill induces desire to sabotage plans and events.	Incorrect use of the word 'zany'.	#38761d						
1018	Nympharoma	#54e507	#ffde00	This pill will give the user the ability to demonstrate kindness towards unkind people.	Can lead to talent scouts thinking you're much better at football than you are.	#9900ff						
1019	Chayote	#ffde00	#54e507	This pill will make users accidentally spill drinks on others	They become the life of the party by starting an impromptu wet T-shirt contest.	#38761d						
1020	Ambrier	#ffedd7	#903ef9	This pill will give the user game-changing ideas when in the shower.	Allergic reaction to the word 'organic'.	#cb97ff						
1021	Rizzly	#ffde00	#0bc4ff	This pill will jolt the user into realising they mostly hate their life and need to make changes.	Unpredictable and impulsive decisions.	#cb97ff						
1022	Exprickilor	#fc8300	#54e507	This pill will give the user the power to forgive any dog who farted in their face while they were eating.	Involuntary interpretive dancing while listening to any music.	#9900ff						
1023	Nervilous	#ff00ff	#903ef9	This pill will make the user feel overjoyed whenever they picture a sparkling clean toilet.	Constantly shouting: "I have a cunning plan!" - Tony Robinson / Blackadder	#ff00ff						
1024	Bluck	#903ef9	#ff00ff	This pill gives the user the ability to empathize with those who trip on their shoelaces in public.	Socially detrimental obsession with middle names.	#9900ff						
1025	Brilzy	#ff00ff	#fc8300	This pill allows the user to teleport to anywhere in the metaverse with a landline phone.	May cause the user to become disoriented, nauseous, and brittle boned .	#000000						
1026	Illusioniaph	#903ef9	#903ef9	This pill will make the user feel capable when concentrating.	Gradually morphing into a dragonfly.	#9900ff						
1027	Marek	#ffedd7	#ff00ff	This pill will give the user a mind-blowing time taking the bins out.	Intense fascination with the social dynamics of ants at picnics.	#cb97ff						
1028	Skiffoon	#ffde00	#ffedd7	This pill will make the user feel like they're in a TV advert.	Feelings of being sold to, leading to deep distrust of both friends and strangers.	#cb97ff						
1029	Intersesame	#903ef9	#fc8300	This pill will give the user the ability to miniaturise low-quality luggage salesmen.	Inability to respond to people without making it rhyme with what they said..	#ff9900						
1030	Zenith	#54e507	#903ef9	This pill will make the user feel an overwhelming urge to bake cookies and share them with their neighbors.	Sarcastic responses to the word 'nostalgia'.	#9900ff						
1031	Gopdema	#ffedd7	#54e507	This pill will give the user the ability to manipulate political leaders into transferring all their power and influence to them.	Inability to trust anyone, leading to a life of paranoia.	#999999						
1032	Bireme	#903ef9	#ff00ff	This pill will enable the user to break the world record for the most skateboard tricks in 24 hours.	Claiming to have popularised the phrase: “I’m as mad as hell, and I’m not going to take this anymore!”	#ff00ff						
1033	Puffyness	#ffedd7	#ffde00	This pill gives the user the ability to split sofas with their breath.	May cause user to start playing with slinkies in a courtroom.	#38761d						
1034	Frolmox	#ff00ff	#903ef9	This pill will make the user turn any food into chocolate.	Insomnia.	#7f6000						
1035	Kiwano	#ff00ff	#ff00ff	This pill will implant in the user memories of embracing universal love alongside Hypatia of Alexandria amidst a chromatic garden.	Accidentally becoming an often cited expert in public relations and administration.	#ff00ff						
1036	Kilty	#ff00ff	#ffde00	This pill lets the user experience life as the gardener who almost caused the fall of the Roman Empire with an invasive plant species.	Hostility towards stars reported by some users.	#38761d						
1037	Jibbin	#ff00ff	#fc8300	This pill will give the user the ability to miniaturise financial analysts.	Inability to pronounce the word "spicy".	#ff9900						
