,id,name,hex1,hex2,effect,sideEffect.
,467,Crowberry,#903ef9,#ffde00,This pill will grant the user the strength to show tolerance towards people who get you to move out of the way on a busy dancefloor so they can take a stupid group photo of their stupid friends.,The urge to start a support group for abandoned shopping carts.
,468,Browncoffin,#ff00ff,#ffde00,This pill lets the user embody the sous-chef whose over-peppered soup almost caused Archduke Franz Ferdinand to sneeze himself unconscious.,Giving off a faint odour of thrush.
,469,Metamorphia,#ffedd7,#54e507,This pill will make the user feel like they are fragrant when they're with loved ones.,Intense fear of large burritos.
,470,Stockey,#ffde00,#ff00ff,This pill will give the user the ability to remake any movie they watch with themselves as the lead actor.,Intense fear of labradors.
,471,Buoyage,#903ef9,#54e507,This pill allows the user to heal others and themselves.,Uncontrollable desire to offer unsolicited health advice.
,472,Humeri,#54e507,#903ef9,This pill will make the user be able to feel like they are watching their favourite film for the first time.,Difficulty keeping secrets when with a cashier.
,473,Praysee,#54e507,#ffedd7,This pill will give the user the ability to articulate in simple terms even the most complex idea.,"Inability to stop simplifying explanations, leading to increasingly vague descriptions"
,474,Ooflord,#ff00ff,#ff00ff,This pill will make the user say edgy things in inappropriate situations.,"Uncontrollable, rapid shrugging of the shoulders."
,475,Pirrip,#ffedd7,#ffde00,This pill will give the user the feeling of having major religious moments when eating ice cream.,Phobia of brains.
,476,Krush,#903ef9,#ff00ff,This pill will make the user act in a sour fashion when someone is trying to hard to impress them.,Leg spasms in reaction to face painting at family-friendly festivals.
,477,Vlubst,#54e507,#ff00ff,This pill allows the user to see and communicate with mythical creatures.,"Uncontrollable and explosive vomiting upon hearing the phrase ""open the kimono""."
,478,Smilofadex,#54e507,#ffde00,This pill will make the user feel like they have annoyed anyone that smiles at them.,Reduced ability to tell when one has actually annoyed someone.
,479,Armory,#54e507,#903ef9,This pill gives the user the power to mystify workmen with their dumpster diving.,Attempting to overthrow local government in Teesside.
,480,Dribbtonite,#fc8300,#fc8300,This pill will make the user be able to move slowly across the ground without moving their feet:.,Irresistible urge to skip everywhere like a schoolgirl.
,481,Buxomeron,#ff00ff,#903ef9,This pill increases zany behavior.,may cause sensory overload and disorientation.
,482,Klick,#ff00ff,#903ef9,This pill radiates love and joy upon reading books.,"Red face and uncontrollable drooling when anyone utters the phrase ""rocket science""."
,483,Globuletinol,#54e507,#ffde00,This pill will give the user the power to shut down flat earthers' theorising by simply humming.,Two left feet (literally).
,484,Plasmagen,#ffde00,#54e507,"This pill will make you a freestyle rap prodigy, busting out rhymes about puppies, rainbows, and ice cream.",Weird attraction to wasps.
,485,Bioherm,#54e507,#903ef9,This pill gives the user the ability to astonish hedonists with their unicycling.,Inability to stop quoting Oprah Winfrey.
,486,Zelin,#54e507,#54e507,This pill gives the user the power to blow the mind of tailors with their beatboxing.,Incorrect use of the word 'unicorn'.
,487,Mirthpugnium,#54e507,#903ef9,This pill will make the user burst out laughing on hearing terrible news.,Being regularly punched in the face.
,488,Piquant,#ff00ff,#ffde00,This pill will give the user the power to fluctuate between different states or conditions.,Clucking like a chicken upon seeing a pigeon.
,489,Glintonite,#54e507,#ff00ff,This pill will give the user the power to adjust their behavior accordingly.,"Violent reaction to use of the phrase ""resonate""."
,490,Vlixol,#ffedd7,#ff00ff,This pill will make the user act incredibly bravely when it's not at all called for.,Tendency to scream in response to compliments.
,491,Blucking,#ffedd7,#ffde00,This pill will make the user feel discouraged while shopping.,A feeling of great apprehension towards lawyers affecting a large proportion of users.
,492,Drottler,#ffde00,#ffde00,This pill bestows the user with the ability to make objects fluoresce,"Uncontrollable compulsion to slap the nearest person's face upon hearing the word ""outline""."
,493,Conged,#ffde00,#ff00ff,"This pill will give users the power to diffuse conflicts and arguments, helping people find common ground and harmony.",Unusual prepossession with parabolic antennas.
,494,Yugariapharm,#ff00ff,#903ef9,This pill will make the user act in a sedate fashion when with friends.,Irrational fear of sombreros.
,495,Humulisgriortrine,#ff00ff,#54e507,This pill causes a desire for disaster and relaxation in the user.,A newfound love for running with the bulls.
,496,Solaria,#ffde00,#ff00ff,This pill will give the user patience when dealing with someone with an incredibly annoying laugh.,Gradually morphing into a checkered garter snake.
,497,Tattycoram,#ffedd7,#ff00ff,"This pill will make the user's body turn into a living, breathing work of art, inspiring awe and wonder in everyone who sees them.",Inclination to carry around a suitcase full of rocks.
,498,Skwawker,#0bc4ff,#ffedd7,"This pill will turn the user into wise and incredibly verbose barn owl with a taste for bold, colourful kimonos.",Head rotating fully of its own accord.
,499,Eremuri,#ff00ff,#ff00ff,This pill will make the user feel like they are loyal when they're with loved ones.,"Frequent uncontrollable hugging of loved ones, causing embarrassment."
,500,Zekil,#ffde00,#ff00ff,This pill gives the user the ability to beguile athletes with their puzzle solving.,Buying a holiday home in Wigan.
,501,Ziblax,#903ef9,#ff00ff,This pill gives the user the ability to come up with perfectly timed sassy remarks,Trying to find a literal mic to drop in places where the likelihood of finding one is zero.
,502,Gallanbile,#ffde00,#fc8300,This pill will make the user lose their inhibitions whenever they encounter tongues.,Irrational fear of strawberries without cream.
,503,Rainryan,#ffde00,#ff00ff,This pill will make the user's ears glow when the sun is out.,Fear of parents on the school run.
,504,Nostrildamoof,#54e507,#ffde00,This pill will make the user be able to sneeze louder than a lion's roar.,An affinity for the strange at formal occasions.
,505,Beamy,#ffde00,#903ef9,"This pill will make the user see a bright, colourful aura around their boss whenever they hear the word ""finish"".",Morbidly distracting fascination with retired firefighters for several days following use.
,506,Quimpex,#54e507,#903ef9,This pill will make the user superhuman for a random period of 10 minutes every day.,Difficulty in predicting when the superhuman abilities will kick in.
,507,Manging,#ffde00,#903ef9,This pill will implant in the user memories of tears of joy illuminating their soul with the essence of Olaudah Equiano.,Painful contraction and expansion of the pinkie.
,508,Payne,#ffde00,#ffde00,This pill will make the user have the experience of teaching Isaac Newton the laws of gravity.,Pathological fear of Intel products.
,509,CleeBeesey,#0bc4ff,#54e507,This pill will make the user have an intense hallucinatory experience when visiting the last resting place of Cleopatra.,Imagining yourself as a powerful ruler in ancient Egypt.
,510,Bair,#ffde00,#ff00ff,This pill gives the user the ability to permanently affect shoppers with their fire eating.,Perpetual sneezing when watching movies.
,511,Frobulox,#fc8300,#ff00ff,This pill will make the user be able to never feel cold again.,"Feelings of being sold to, leading to deep distrust of both friends and strangers."
,512,Jungee,#903ef9,#ffde00,This pill grants the user the ability to feel strong compassion towards deep sea fishermen despite finding them a little odd.,Fascinating hallucinatory experiences with a blue-ringed octopus.
,513,Snapalax,#ff00ff,#ff00ff,This pill will make the user have a photographic memory for words and numbers.,Increasingly transparent ankles.
,514,Maphaalaxine,#ff00ff,#ff00ff,This pill will make the user be able to fart the theme from M.A.S.H. at will.,"Stopping people in the street to tell them: ""It is illegal in Kentucky to marry the same man more than 3 times."""
,515,Frowncow,#fc8300,#ff0000,"This pill gives the power to make dairy farmers let their animals hang out with their friends and offspring by shouting: ""Got milk?"" at them.",Developing foot-long eyelashes.
,516,Chunching,#903ef9,#ff0000,This pill will make the user feel ashamed in the bedroom.,Painful contraction and expansion of the palms.
,517,Wimzax,#ff00ff,#54e507,This pill enhances the user's senses and allows them to communicate with plants.,Fear of house plants.
,518,Cempedak,#ffedd7,#903ef9,This pill will give the user the ability to always win thumb wars against social workers.,"Coffee-coloured teeth,"
,519,Celestaris,#ffde00,#ffedd7,This pill makes the user the life and soul of picnics,Turning outdoor gatherings into spontaneous game sessions.
,520,Salakerbax,#ff00ff,#ff00ff,"This pill will make users expertly mimic others' voices, but they'll accidentally reveal their own secrets while impersonating someone else.",Ingrown hairs around left nipple.
,521,Diger,#ff00ff,#ffde00,"This pill will give the user the ability to reform into any shape or form they desire, like a human shapeshifter.",Fear of insect poo.
,522,Betrayharris,#ff00ff,#ffde00,This pill makes the user act like a toddler,"May cause occasional side effect of tantrums when someone says ""no"" to you"
,523,Microchiptex,#fc8300,#903ef9,This pill will make the user feel depressed in the company of friends.,"Stomach twitching in reaction to sausage meat,"
,524,Foftly,#903ef9,#ffde00,This pill will make the user believe everything they hear.,Acting on false information with potentially devastating consequences.
,525,Bogmen,#ffde00,#54e507,This pill will give the user the ability to make others act in an uncharacteristically honest fashion when appraising friends' choices.,Intermittent transformation into a Pacific spaghetti eel.
,526,Pruste,#ffde00,#ff00ff,This pill will give the user the ability to regenerate their limbs like a starfish.,A feeling of great mistrust towards human rights affecting a large proportion of users.
,527,Fientor,#54e507,#ffde00,This pill allows the user to extract nicely spiced bloody Mary's from exposed tree roots.,Frequent hangovers.
,528,Dilinix,#ffde00,#ff00ff,This pill gives the user the ability to shock dog walkers with their jumping out of bushes.,Tendency to yodel at traffic wardens.
,529,Ambisilious,#54e507,#54e507,This pill will give the user the ability to make others act in an unemotional manner when receiving gifts.,Intense fear of fresh loaves.
,530,Reef Lux,#903ef9,#ffde00,This pill makes users able to give people acid indigestion by winking at them.,Flaky skin around ears.
,531,Slairisk,#ffedd7,#ff00ff,This pill will give the user the ability to turn people invisible but only for 30 seconds at a time.,Constant attempts at finding and contacting people with the same name on Facebook.
,532,Snazzix,#54e507,#ff00ff,This pill will enable the user to run across water at incredible speeds.,Intermittent transformation into a red fox.
,533,Reargue,#54e507,#54e507,This pill will make the user feel animated when they come across a designer bag counterfeiter.,"Constantly shouting: ""To the moon"""
,534,Frublax,#903ef9,#ff00ff,This pill will give the user the strength of a fish.,Intermittent transformation into a styracosaurus.
,535,Aquaticus,#ff00ff,#54e507,"This pill makes the user's kind reassurances feel like a playful, slapstick chase scene that ends in a comforting hug.",Potentially unhealthy obsession with chequered floors.
,536,Duj,#ffde00,#54e507,This pill gives the user the ability to disintegrate hiking equipment with their singing.,Unintentionally gaining political influence.
,537,Octosoz,#0bc4ff,#ffde00,This pill will make the user burst into tears upon seeing a plush toy octopus.,Overwhelming sorrow when encountering plush toy octopuses.
,538,Vimblay,#0bc4ff,#ffde00,This pill will make the user bold during meetings at work.,Dangerous levels of sweating and dehydration in warm climates.
,539,Accurvey,#54e507,#ff00ff,This pill will make the user able to transmute lead into gold.,Intermittent but debilitating fear of Volkswagen products.
,540,Enettinge,#ffedd7,#54e507,This pill will make the user appear shocked whenever they're at the Christmas market.,Intense fear of bankruptcy.
,541,Mendozazuzu,#54e507,#ff00ff,This pill will make the user feel worried about imminent alien invasion.,Paranoid accusations aimed at anyone user feels to be exhibiting extra terrestrial traits or behaviours.
,542,Esperanza,#ffde00,#0bc4ff,This pill will make the user develop an encyclopedic knowledge of obscure cheese trivia.,"Occasionally causes you to give long-winded, pointless stories that end with a pun."
,543,Necrophyte,#903ef9,#54e507,"Temporarily turns the user into a cat, complete with the instinct to chase laser pointers and demand constant attention","Loss of all motor functions upon hearing the phrase ""guru""."
,544,Smig,#ffde00,#ff0000,This pill will make the user mute for 2 minutes upon seeing a chain fence.,Invidious attitude towards philanthropy.
,545,Baswainyx,#ffedd7,#54e507,This pill will give the user the power to show mercy to anyone who always forgets their birthday by at least a week.,Involuntary need to serenade strangers with heartfelt ballads on the ukulele.
,546,Aneth,#903ef9,#ff00ff,This pill gives the user the ability to mislead audiobook listeners with their cake decorating.,Stomach twitching in reaction to radishes in salads.
,547,Slip,#ff00ff,#54e507,This pill lets the user show sympathy to those who awkwardly laugh at serious moments.,Immediate loss of bowel control on hearing the word 'palatable'.
,548,Xanwip,#ffde00,#ff00ff,Travel between dimensions with each bite of a muffin,Insistent belief that you are a master baker.
,549,Phonoponohp,#ffedd7,#ffde00,This pill will make people think the user invented the telephone.,Extreme impatience when with a tree surgeon.
,550,Wezgixer,#54e507,#ffedd7,This pill grants the user enhanced endurance and stamina.,Compulsive urge to participate in endurance sports.
,551,Bananaramadol,#ffedd7,#ffde00,"This pill will make it's user vomit fresh, delicious banana milkshake at will.",Chronic acid reflux.
,552,Zillamax,#ff00ff,#ffedd7,This pill makes the user feel a pleasant cool breeze on their face when there's no wind.,Chapped lips and dry skin.
,553,Diffectic,#ffde00,#ff00ff,This pill will make the user be able to talk with the spirit of Ganesha.,"Impromptu spiritual discussions, occasionally during inappropriate moments."
,554,Lizzles,#ff00ff,#ff00ff,This pill will make the users life become a series of viral internet memes.,"Inability to carry on conversing with anyone who uses the phrase ""human capital""."
,555,Psychotriax,#903ef9,#903ef9,"This pill will make the user see a bright, colourful aura around their coworkers whenever they hear the word ""sound"".",Increasingly square jaw.
,556,Nuster,#ffde00,#ff00ff,"This pill will make every jump you take feel like you're on the moon, complete with slow-motion flips and gravity-defying stunts.","Violent reaction to use of the phrase ""magic bullet""."
,557,Croaf,#ff00ff,#ffde00,"This pill will give you the ability to instantly grow a hilarious, temporary costume that perfectly fits the situation, turning any moment into a dress-up party",Loss of bowel control upon seeing a block of mature cheddar.
,558,Amarindilldox,#ffedd7,#ff00ff,This pill will make the user feel dispirited whenever they're at the chemist.,Heartwarming hallucinatory experiences with a golden retriever.
,559,Jinned,#ffde00,#903ef9,"This pill will make users launch into ""Greased Lightnin'"" from Grease when they hear the word ""car"".",Tendency to test patience of hotel staff.
,560,Punjix,#903ef9,#54e507,This pill will make the user an expert in institutional hydrogenics.,A fascination with tales of worldly experiences to the point people tire of speaking about them.
,561,Whirbin,#ff00ff,#ffde00,"This pill enables the user's words of wisdom to sound like a soothing bedtime story narrated by a charming, witty owl.",Nervous cough in reaction to penguins
,562,Tatrese,#ff00ff,#903ef9,"This pill will make the user feel as though they are surrounded by the loving stacks community, lasting feelings of belonging and connection.",Gradual morphing into a aged siberpoo.
,563,Kotched,#54e507,#ff00ff,This pill lets the user transform into the chariot driver who almost upstaged Cleopatra's entrance with an untimely crash.,A compulsion to play the audiobook of The Civil War by Shelby Foote on headphones full blast while moshing on the bus.
,564,Flarb,#ff00ff,#ff00ff,This pill will make the user able to accommodate any awkward social situation.,"Sea water shooting from the eyes upon hearing the phrase ""tearjerker""."
,565,Drippin,#54e507,#ffedd7,This pill will give the user startling abilities when navigating long queues at security in airports.,Stomach twitching in reaction to Christmas carols.
,566,Htchsko,#54e507,#ffedd7,"This pill will make the user be able to create giant sand sculptures at the beach using their mind, but only obscene ones.",Insatiable interest in long words for several days following use.
,567,Pipebomaxitol,#ffde00,#ffde00,This pill will make the user feel like they are affectionate when they're with loved ones.,"Inability to stop petting loved ones' hair, causing confusion."
,568,Terrasiaminox,#ff00ff,#903ef9,This pill will make the user mute for 2 minutes upon seeing a roll of stickers.,Pathological fear of Intel products.
,569,Mablese,#54e507,#903ef9,This pill will make the user be able to turn themselves into water.,Complete contentment.
,570,Jobfusticate,#ff00ff,#fc8300,This pill will give the user the power to show mercy to anyone who keeps rubbing their new relationship and how in love they are in everyone's faces.,Compulsion to rank every sandwich ever eaten on an elaborate scale.
,571,Diminisherine,#ffedd7,#903ef9,This pill will make the user feel indifferent when watching their favorite movie,Gradual loss of interest in movie nights.
,572,Treswirl,#903ef9,#54e507,This pill enhances the user's senses and allows them to breathe underwater.,Socially detrimental obsession with grey skies.
,573,Pontopet,#54e507,#ffde00,This pill will make the user be able to turn their Megapont ape into a pet.,Some users report the pet ape turning on them and going rogue after a few weeks.
,574,Implantonol,#54e507,#fc8300,This pill makes every insult feel like a compliment.,Some users report every compliment as feeling like a death threat.
,575,Thyptes,#ffde00,#903ef9,This pill will give the user instant success when they take on a new challenge,Intermittent transformation into a snowberry clearwing.
,576,Stirbrix,#fc8300,#903ef9,This pill will make the user an expert in military paraacoustics.,"Violent reaction to use of the phrase ""learnings""."
,577,Weshire,#54e507,#54e507,This pill will make the user feel worthless at children’s parties.,Hypnotic hallucinatory experiences with an orchid dottyback.
,578,Sclarint,#ff00ff,#54e507,This pill will make the user have the experience of leading the orchestra at the premiere of Tchaikovsky's Nutcracker.,May cause the user to become a Scientologist.
,579,Blunt,#ff00ff,#903ef9,This pill will make the user lose their mind whenever they encounter thermometers.,Hallucinatory experiences with an earless monitor lizard.
,580,Clarifique,#ffde00,#903ef9,This pill will grant the user a mysterious ability to predict the next flavour of Ben & Jerry's.,May cause you to skip everywhere if taken on a crowded city street.
,581,Bemock,#903ef9,#903ef9,This pill will make the feel overwhelmed upon seeing a bag of marbles.,Unforgettable hallucinatory experiences with a Bolivian anaconda.
,582,Switter,#0bc4ff,#ff00ff,"This pill enhances the user's environment with a colourful, magical tint","Uncontrollable compulsion to slap the nearest person's face upon hearing the word ""Venus""."
,583,Stimvaporum,#ffde00,#903ef9,This pill will give the user the power to freeze expanses of water so they're safe to walk on for up to 45 minutes.,Slippery shoes and cold feet.
,584,Tringers,#ffde00,#ff00ff,"This pill will turn your frown upside down—literally! Your face will do a 180, and you'll sport the happiest smile in the metaverse.",Cruel intentions.
,585,Plantaing,#ffde00,#ff00ff,This pill will make the user have the experience of attending the zaniest historical conferences with Benjamin Franklin.,Pathological fear of Toyota products.
,586,Slook,#ffde00,#ffde00,This pill will give the user the ability to vacillate between different moods or opinions depending on the situation.,"If used during a thunderstorm, may cause the user to swap ages with a lightning bolt"
,587,Plop,#54e507,#ffedd7,This pill will make the user feel weak in the company of friends.,Feeling weak and powerless when surrounded by friends.
,588,Sympathite,#903ef9,#ffde00,This pill will make the user feel jubilant when they come across a tiny ceramic toothbrush.,Claiming to have popularised the phrase: “I’m going to make him an offer he can’t refuse”
,589,Breadfruitazol,#ff00ff,#54e507,This pill will make the user have the experience of assisting Gutenberg in printing the first Bible.,Nervous cough in reaction to bald eagle eggs.
,590,Ifer,#903ef9,#ffde00,"This pill transports users to a mythical, infuriatingly administered land called Beckswaddle.",Regularly mistaking one's romantic partner for a cake in the shape of a guitar.
,591,Begum,#ff00ff,#ffde00,This pill will spark a sense of nostalgia and contentment in others with a reassuring touch from the user.,Regularly likening one's romantic partner to a sausage.
,592,Aeroporthd,#ffedd7,#ffedd7,This pill allows to user to show empathy towards troubled wealth managers.,Claiming to have coined the phrase: “You talkin’ to me?”
,593,Soundbox18,#ff00ff,#ffde00,"This pill will have you convinced you're a pirate, seeking treasure in unlikely places.",Pathological fear of Dell products.
,594,Diaries,#ffde00,#ff00ff,This pill gives the user the ability to daze policemen with their bodybuilding.,Transient transmogrification into a mexican mole lizard.
,595,Clail,#ff00ff,#ffedd7,This pill will give the user the ability to be patient with people who don't understand basic technology.,Dislike of questions reported by most users.
,596,Obi,#ff00ff,#ffde00,"This pill will cause users to create impromptu, ridiculous interpretive dances to describe their emotions and experiences, much to the amusement of onlookers.",Inability to stop quoting Richard Nixon.
,597,Bearhug,#54e507,#ffde00,This pill will make the user sing the theme tune from Veronica Mars when they see a human with a squirrel.,Inability to digest ravioli.
,598,Zortlak,#ff00ff,#ffde00,This pill will give the user the ability to turn any conversation about traditional finance into a debate about the merits of cryptocurrency. ,Strained relationships with friends and family who aren't interested in discussing cryptocurrency.
,599,Nibbin,#903ef9,#fc8300,This pill will make the user feel indifference in the bath.,Embarrassing skin reaction to painter decorators.
,600,Gooklor,#ffde00,#ffde00,This pill will give the user the sensory abilities of a mandrill.,Loss of bowel control upon seeing a cake in the shape of a guitar.
,601,Umbragero,#54e507,#ffde00,This pill will make the user be able to see through old people’s clothing (80+ years of age).,Morbid erectile dysfunction.
,602,Psi-Wave,#ff00ff,#ff00ff,The power to make anyone feel like a superhero.,Intense fear of baby mice.
,603,Trafloon,#ffedd7,#ff00ff,This pill will give the user the strength of a orangutan.,Insatiable interest in Scotch eggs for several days following use.
,604,Spen,#0bc4ff,#ffedd7,This pill will give the user the strength to forgive any neighbour who repeatedly plays their music too loudly.,Hearing a random opera singer's voice whenever someone uses a blender nearby.
,605,Luniarisomol,#ff00ff,#54e507,This pill will give the user the ability to evolve and adapt to changing circumstances.,May cause occasional side effect of ranting about the good old days when you hear modern music
,606,Smooms,#ffde00,#54e507,This pill gives the user the power to agitate painters with their contortionism.,Constant cravings for poached mosquito.
,607,Pyromancy,#903ef9,#ff00ff,This pill will give the user the ability to sneeze gold dust.,"Severe allergic reaction to the phrase ""brain surgery ""."
,608,Hemiannihilate,#ffedd7,#903ef9,This pill will give the user the ability to be direct when they're feeling the complete opposite.,"Struggling to soften statements, leading to occasional misunderstandings."
,609,Goppers,#ffde00,#fc8300,This pill will give the user the power to bewilder and annoy vendors at street food markets by working out and announcing how much mark-up there is on each dish to those considering ordering.,Uncontrollable desire to impersonate famous chefs during meals.
,610,Minullex,#ffde00,#ffedd7,This pill will make those whose hands are held by the user feel a surge of positive energy and love.,Temporary transmogrification into a stoplight loosejaw.
,611,Quifftonite,#ff00ff,#ffde00,This pill will make the user feel blissful whenever they picture an MP3 player.,An uncanny skill for zorb ball.
,612,Amberier,#54e507,#ffedd7,This pill will make the user be able to instantly adapt to any environment.,"A sharp and piercing headache upon hearing the phrase ""bring to the table""."
,613,Yebrius,#ff00ff,#fc8300,This pill will make the user be able to set fire to water.,Considerable risk to life while under influence near swimming pools.
,614,Sartience,#ffde00,#ff00ff,This pill provides unwavering willpower to quit nail-biting for good.,Continual references to Tim Burton.
,615,Chrysox,#903ef9,#903ef9,This pill will make the user feel like they are cheerful even when they're not.,Confused body language.
,616,Peets,#ff00ff,#ffde00,"This pill will convince users that they can levitate objects with their mind, causing them to perform outrageous attempts at telekinesis.",Constant need to jump sideways following habitual use.
,617,Jujube,#ff00ff,#54e507,This pill will give users the ability to make death metal drummers smile when they're having a bad day.,Insatiable interest in receipts for several days following use.
,618,Twirl,#ff00ff,#fc8300,This pill will make the user act in a frigid fashion when speed-dating.,A compulsion to play the audiobook of Common Sense by Thomas Paine on headphones full blast while moshing on the bus.
,619,Krunc,#903ef9,#ff00ff,This pill will make the user an expert in mathematical metahistory.,"Loss of all motor functions upon hearing the phrase ""deliverables""."
,620,Caltrex,#ffde00,#ffedd7,This pill gives the user the ability to expertly push the limits of humour to breaking point without offending anyone.,"Inability to stop telling jokes, even when asleep."
,621,Zatlin,#54e507,#903ef9,This pill gives the user the power to flabbergast crooks with their rock climbing.,"Compulsive humming in reaction to ostrich burgers,"
,622,Smirktonite,#fc8300,#ff00ff,This pill will make the user feel abandoned whenever they're at the hospital picking up test results.,Uncontrollable swaying arm and hand movements experienced in 16% of users .
,623,Hoors,#ffedd7,#54e507,This pill will make the user feel aloof after 3pm.,Loss of appetite and difficulty swallowing while watching The Great British Bake Off..
,624,Psychelia,#ffde00,#ffde00,This pill will make the user be able to make anyone's trousers fall down by clicking their fingers.,Intermittent transformation into a samoyed.
,625,Microlux19,#ffde00,#54e507,"Your hugs create an enchanting atmosphere, like stepping into a fairy tale.",Propensity to lick everything in sight.
,626,Uraemicin,#903ef9,#ffde00,This pill will make the user feel contempt when being interviewed for their dream job.,Grotesquely enlarged earlobes.
,627,Ineshesingly,#ff00ff,#ff00ff,This pill will give the user the power to summon a swarm of bees to do their bidding by shrugging their shoulders.,Adverse physiological reaction to long sticks affecting a large proportion of users.
,628,Humbing,#ffde00,#ff00ff,This pill will give the user the ability to fluctuate between being a human and a cat randomly throughout the day.,"Overpowering urge upon hearing the word ""restraint""."
,629,Educat,#ffde00,#ffedd7,This pill will allow the user to help old ladies stuck up trees get down without harming them.,"An unusual attraction to taxidermy, resulting in an ever-growing collection of stuffed animals."
,630,Exprilorax,#54e507,#ffde00,This pill gives the user the ability to make plants grow in the shape of animals.,Unintentional creation of a cult.
,631,Clairvox,#54e507,#ff00ff,"This pill will imbue the user with an aura of comfort, making anyone they hug feel like they are wrapped in a warm, fuzzy blanket.",Inclination to smell feet in public.
,632,Drogdoza,#903ef9,#54e507,This pill will make the user able to cook naked without causing alarm.,"Going up to strangers and shouting: ""Eating while swimming in the ocean is prohibited."""
,633,Geshlamp,#ff00ff,#54e507,This pill will make the user's yawns contagious to the point of causing mass exhaustion.,"Confetti shooting from the eyes upon hearing the phrase ""blue sky thinking""."
,634,Skullcap,#0bc4ff,#ff00ff,This pill allows the user to shapeshift and change their appearance at will.,Inability to change back without saying a tongue twister.
,635,Chirptin,#ff00ff,#ffedd7,This pill helps avoid binge-watching an entire TV series.,Facial palpitations when handling tins of tuna.
,636,Maltchell,#ff00ff,#54e507,"This pill will make you believe that every cat you encounter is a secret spy, keeping you entertained with their covert kitty missions",Pathological dislike of work parties reported by most users.
,637,Jottish,#0bc4ff,#ffde00,This pill will make the user behave like a playful puppy,Inability to resist chasing after squirrels and sticks.
,638,Fiderzap,#54e507,#54e507,This pill will make the user appear empty of all emotion when at a waterpark.,Constant need to walk sideways following heavy use.
,639,Woup,#ff00ff,#ffde00,"This pill will cause you to greet everyone as if they were long-lost friends, spreading warmth","Loss of bladder control upon hearing the word ""possessive""."
,640,Rinsefluencer,#ff00ff,#ff00ff,This pill will give the user the ability to steal people's instagram followers for their own account by printing off screenshots of them and putting them in a bedside drawer.,Ephemeral transmogrification into a parrot snake.
,641,Garnier,#54e507,#903ef9,This pill will make the user feel like a present on their birthday.,Overwhelming urge to gift-wrap oneself on special occasions.
,642,Moonscape,#54e507,#ffedd7,This pill will make the user amazing at bungee jumping.,Fear of patterned clothing.
,643,Acantha,#ffde00,#0bc4ff,"This pill will allow the user to see the world through the eyes of strangers, fostering empathy and understanding for people from all walks of life.",Intense fear of cookbooks.
,644,Aftertax18,#ff00ff,#903ef9,"The pill enables the user to create mesmerizing, colourful light shows","Uncontrollable compulsion to slap the nearest person's face upon hearing the word ""knowing""."
,645,Kromoon,#ffde00,#903ef9,This pill will give the user the ability to encourage people with no self confidence by making a series of serious human errors in their presence.,Irresistible urge to perform handstands in crowded elevators.
,646,Strunch,#ffde00,#54e507,This pill will make the user shout lines from Jeopardy whenever they're shown an image of a monkey.,"Impersonating Alex Trebek around monkeys, even in zoos."
,647,Throot,#ff00ff,#ff00ff,This pill will give the user the ability to diversify their collection of imaginary friends.,Nostalgia for the future.
,648,Zephlar,#ffedd7,#903ef9,This pill will make the user courageous in the face of insummountable odds.,Pathological fear of Cisco products.
,649,Plared,#903ef9,#54e507,This pill will give users the power to grant social workers three wishes.,Inability to stop quoting Osama bin Laden.
,650,Snipe,#903ef9,#54e507,This pill will make the user be able to sneeze fruit flies on demand.,Cranial maggots.
,651,Skribbon,#54e507,#ff00ff,This pill will give users the ability to show love towards people who do jobs that everyone hates.,Phobia of analyses.
,652,Doppy,#54e507,#54e507,This pill lets the user become the courier who almost caused a diplomatic crisis by misdelivering love letters.,Temporary transmogrification into an allosaurus.
,653,Bufframble,#54e507,#0bc4ff,This pill will give the user the ability to anonymously ruin the reputation of corporate trainers.,Weird facial expressions when buying and drinking craft beer.
,654,Peese,#ff00ff,#ff00ff,This pill will make the user very thick-skinned when they wear a cap on backwards.,Fear of vine tomatoes.
,655,Swimney,#ff00ff,#fc8300,This pill will make the user behave in a completely deadpan fashion when speaking to children.,Constantly trying to convice people to take part in extreme ironing.
,656,Onzalor,#903ef9,#ff00ff,This pill will give the user the ability to manipulate blockchains and retrospectively capitalise on crypto breakouts.,"Obsession with analyzing past events, leading to procrastination in current decision-making."
,657,Tuzlo,#54e507,#ffedd7,This pill will make the user an expert in organic volcanophyloinformatics.,Morphing into a rubber chicken with a top hat.
,658,Tappertit,#0bc4ff,#ff00ff,This pill will give the user the power to show mercy to anyone who cannot make a decent cup of tea.,Involuntary need to form a choir that only sings songs about breakfast foods.
,659,Generilous,#ff00ff,#0bc4ff,This pill will make the user feel like a cow,An overwhelming desire to graze on grass and a sudden aversion to hamburgers.
,660,Psychodottage,#54e507,#ff00ff,This pill will make the user act in an impassive fashion when shopping for jewellery.,Irritated scalp.
,661,Plamquash,#ffde00,#54e507,This pill will make the user able to turn large areas of forest destroyed by fire or loggers into a metropolitan landscape with no more than 3 craft breweries and artisan coffee shops.,"Temporary loss of fine motor skills after hearing the word ""computer""."
,662,Hypnoticane,#54e507,#ffde00,The pill deepens the saturation of colours in the user's environment,"Uncontrollable compulsion to slap the nearest person's face upon hearing the word ""race""."
,663,Sempronius,#ffde00,#ffedd7,This pill will make the user amazing at roller skating.,Compelled to do a handstand in the middle of meetings.
