#,seed,score,hitRate,alg11,pal,scale,melodic
426,"s4u9nfxl",0.417,"8%","1/12",0,"n/a","—"
427,"fjupltu5",0.417,"8%","1/12",0,"n/a","—"
428,"a48kur7a",0.417,"8%","1/12",0,"n/a","—"
429,"is6wklrf",0.417,"8%","1/12",0,"n/a","—"
430,"vnhusnev",0.417,"8%","1/12",0,"n/a","—"
431,"68llibez",0.417,"8%","1/12",0,"n/a","—"
432,"7lo7fdx8",0.417,"8%","1/12",0,"n/a","—"
433,"xd467poj",0.417,"8%","1/12",0,"n/a","—"
434,"4syrs6es",0.417,"8%","1/12",0,"n/a","—"
435,"6pey8fvp",0.417,"8%","1/12",0,"n/a","—"
436,"39x6ik4i",0.417,"8%","1/12",0,"n/a","—"
437,"yapjl6f3",0.417,"8%","1/12",0,"n/a","—"
438,"t0kqwj4g",0.417,"8%","1/12",0,"n/a","—"
439,"6lachlr0",0.417,"8%","1/12",0,"n/a","—"
440,"4n7pmx9u",0.417,"8%","1/12",0,"n/a","—"
441,"t4gkr683",0.417,"8%","1/12",0,"n/a","—"
442,"i5id4qu4",0.417,"8%","1/12",0,"n/a","—"
443,"9yadlboh",0.417,"8%","1/12",0,"n/a","—"
444,"l84s6k07",0.417,"8%","1/12",0,"n/a","—"
445,"kbq5zwuc",0.417,"8%","1/12",0,"n/a","—"
446,"j6m7ywm7",0.417,"8%","1/12",0,"n/a","—"
447,"2mubv2al",0.417,"8%","1/12",0,"n/a","—"
448,"q3sh2n1m",0.417,"8%","1/12",0,"n/a","—"
449,"w0098wvb",0.417,"8%","1/12",0,"n/a","—"
450,"5wew0u8v",0.417,"8%","1/12",0,"n/a","—"
451,"oz62il52",0.417,"8%","1/12",0,"n/a","—"
452,"vek0rbvp",0.417,"8%","1/12",0,"n/a","—"
453,"t52k86ry",0.417,"8%","1/12",0,"n/a","—"
454,"izzqhgxx",0.417,"8%","1/12",0,"n/a","—"
455,"6xdzrsjv",0.417,"8%","1/12",0,"n/a","—"
456,"sx1i07dw",0.417,"8%","1/12",0,"n/a","—"
457,"xndjr75f",0.417,"8%","1/12",0,"n/a","—"
458,"x8geitnk",0.417,"8%","1/12",0,"n/a","—"
459,"ad150w9z",0.417,"8%","1/12",0,"n/a","—"
460,"f2sq12vj",0.417,"8%","1/12",0,"n/a","—"
461,"8r7ixetd",0.417,"8%","1/12",0,"n/a","—"
462,"xbmsevmr",0.417,"8%","1/12",0,"n/a","—"
463,"q0kzeqp4",0.417,"8%","1/12",0,"n/a","—"
464,"rbzwie29",0.417,"8%","1/12",0,"n/a","—"
465,"zc5rjcid",0.417,"8%","1/12",0,"n/a","—"
466,"6rs36tl4",0.417,"8%","1/12",0,"n/a","—"
467,"qb0x9zgc",0.417,"8%","1/12",0,"n/a","—"
468,"8mrqjhlz",0.417,"8%","1/12",0,"n/a","—"
469,"rgqsp2n3",0.417,"8%","1/12",0,"n/a","—"
470,"2dq5atp3",0.417,"8%","1/12",0,"n/a","—"
471,"5tkrrxg5",0.417,"8%","1/12",0,"n/a","—"
472,"0sf1vece",0.417,"8%","1/12",0,"n/a","—"
473,"dr56jyfl",0.417,"8%","1/12",0,"n/a","—"
474,"kbrrbu2n",0.417,"8%","1/12",0,"n/a","—"
475,"sfr81i1p",0.417,"8%","1/12",0,"n/a","—"
476,"gydhjkye",0.417,"8%","1/12",0,"n/a","—"
477,"363vr6y9",0.417,"8%","1/12",0,"n/a","—"
478,"9lyaq3bq",0.417,"8%","1/12",0,"n/a","—"
479,"u5mhkbta",0.417,"8%","1/12",0,"n/a","—"
480,"5y6djao5",0.417,"8%","1/12",0,"n/a","—"
481,"wak0dv03",0.417,"8%","1/12",0,"n/a","—"
482,"gnwaopq2",0.417,"8%","1/12",0,"n/a","—"
483,"vr95ircn",0.417,"8%","1/12",0,"n/a","—"
484,"3lbp6eb3",0.417,"8%","1/12",0,"n/a","—"
485,"itxfbtlp",0.417,"8%","1/12",0,"n/a","—"
486,"eqo0ab9p",0.417,"8%","1/12",0,"n/a","—"
487,"feubz9mg",0.417,"8%","1/12",0,"n/a","—"
488,"dgbc3g3s",0.417,"8%","1/12",0,"n/a","—"
489,"pdxjszql",0.417,"8%","1/12",0,"n/a","—"
490,"tvax3mth",0.417,"8%","1/12",0,"n/a","—"
491,"8vvzu728",0.417,"8%","1/12",0,"n/a","—"
492,"5e8k1d2r",0.417,"8%","1/12",0,"n/a","—"
493,"yhqs9zkb",0.417,"8%","1/12",0,"n/a","—"
494,"ash67tta",0.417,"8%","1/12",0,"n/a","—"
495,"wtp7tkcv",0.417,"8%","1/12",0,"n/a","—"
496,"9ya6ms9t",0.417,"8%","1/12",0,"n/a","—"
497,"2six7lg1",0.417,"8%","1/12",0,"n/a","—"
498,"mkueeytt",0.417,"8%","1/12",0,"n/a","—"
499,"b6s2m87h",0.417,"8%","1/12",0,"n/a","—"
500,"iwcmylt2",0.417,"8%","1/12",0,"n/a","—"
501,"0f71qlm5",0.417,"8%","1/12",0,"n/a","—"
502,"057roq1t",0.417,"8%","1/12",0,"n/a","—"
503,"cci5g0vf",0.417,"8%","1/12",0,"n/a","—"
504,"h6o7pdfo",0.417,"8%","1/12",0,"n/a","—"
505,"7domvb7c",0.417,"8%","1/12",0,"n/a","—"
506,"oe5yulhy",0.417,"8%","1/12",0,"n/a","—"
507,"uf8y5uxk",0.417,"8%","1/12",0,"n/a","—"
508,"njgd7syd",0.417,"8%","1/12",0,"n/a","—"
509,"2xm3jww7",0.417,"8%","1/12",0,"n/a","—"
510,"bzslheni",0.417,"8%","1/12",0,"n/a","—"
511,"rm31yg63",0.417,"8%","1/12",0,"n/a","—"
512,"5rxek6xx",0.417,"8%","1/12",0,"n/a","—"
513,"y9nu9bcj",0.417,"8%","1/12",0,"n/a","—"
514,"w681j0qf",0.417,"8%","1/12",0,"n/a","—"
515,"7xbm4v76",0.417,"8%","1/12",0,"n/a","—"
516,"y7b1n3p6",0.417,"8%","1/12",0,"n/a","—"
517,"aox9wnsh",0.417,"8%","1/12",0,"n/a","—"
518,"haxpk5dp",0.417,"8%","1/12",0,"n/a","—"
519,"fmg419k6",0.417,"8%","1/12",0,"n/a","—"
520,"aumkw2cz",0.417,"8%","1/12",0,"n/a","—"
521,"zgjo2wm5",0.417,"8%","1/12",0,"n/a","—"
522,"gcjj6rw0",0.417,"8%","1/12",0,"n/a","—"
523,"onffm5fx",0.417,"8%","1/12",0,"n/a","—"
524,"wmxhs61q",0.417,"8%","1/12",0,"n/a","—"
525,"n53urj8t",0.417,"8%","1/12",0,"n/a","—"
526,"z3gr4w1q",0.417,"8%","1/12",0,"n/a","—"
527,"k08x787w",0.417,"8%","1/12",0,"n/a","—"
528,"c1giigy6",0.417,"8%","1/12",0,"n/a","—"
529,"3spco2ei",0.417,"8%","1/12",0,"n/a","—"
530,"q43pt6r4",0.417,"8%","1/12",0,"n/a","—"
531,"j53ptcun",0.417,"8%","1/12",0,"n/a","—"
532,"5ih1j250",0.417,"8%","1/12",0,"n/a","—"
533,"uc87k2bc",0.417,"8%","1/12",0,"n/a","—"
534,"8ni2hok2",0.417,"8%","1/12",0,"n/a","—"
535,"72verfjx",0.417,"8%","1/12",0,"n/a","—"
536,"f1m3cbz5",0.417,"8%","1/12",0,"n/a","—"
537,"4vdldjz0",0.417,"8%","1/12",0,"n/a","—"
538,"t0bhs9tp",0.417,"8%","1/12",0,"n/a","—"
539,"1ivfg4o9",0.417,"8%","1/12",0,"n/a","—"
540,"y8phq18y",0.417,"8%","1/12",0,"n/a","—"
541,"94jgtu6m",0.417,"8%","1/12",0,"n/a","—"
542,"ghz9meg7",0.417,"8%","1/12",0,"n/a","—"
543,"dtjr66hg",0.417,"8%","1/12",0,"n/a","—"
544,"7gzufseh",0.417,"8%","1/12",0,"n/a","—"
545,"5mf2675l",0.417,"8%","1/12",0,"n/a","—"
546,"b3vjkogc",0.417,"8%","1/12",0,"n/a","—"
547,"v9t9vjam",0.417,"8%","1/12",0,"n/a","—"
548,"9brxi5q3",0.417,"8%","1/12",0,"n/a","—"
549,"bfg9a6ih",0.417,"8%","1/12",0,"n/a","—"
550,"r0ufoa6k",0.417,"8%","1/12",0,"n/a","—"
551,"o1a80kqf",0.417,"8%","1/12",0,"n/a","—"
552,"ddf8ipgb",0.417,"8%","1/12",0,"n/a","—"
553,"hqpskfvf",0.417,"8%","1/12",0,"n/a","—"
554,"c3p51xtz",0.417,"8%","1/12",0,"n/a","—"
555,"n4dr40lk",0.417,"8%","1/12",0,"n/a","—"
556,"kn6t37kx",0.417,"8%","1/12",0,"n/a","—"
557,"hjrfrpp1",0.417,"8%","1/12",0,"n/a","—"
558,"y698zcew",0.417,"8%","1/12",0,"n/a","—"
559,"1ih5z3tt",0.417,"8%","1/12",0,"n/a","—"
560,"uiw5sjwy",0.417,"8%","1/12",0,"n/a","—"
561,"f04ntqdv",0.417,"8%","1/12",0,"n/a","—"
562,"h2du2jjf",0.417,"8%","1/12",0,"n/a","—"
563,"ys2yo7nm",0.417,"8%","1/12",0,"n/a","—"
564,"kidiywqi",0.417,"8%","1/12",0,"n/a","—"
565,"y1npoyv0",0.417,"8%","1/12",0,"n/a","—"
566,"025dgayt",0.417,"8%","1/12",0,"n/a","—"
567,"wlkix3w6",0.417,"8%","1/12",0,"n/a","—"
568,"62hyynjq",0.417,"8%","1/12",0,"n/a","—"
569,"ogwp6vey",0.417,"8%","1/12",0,"n/a","—"
570,"x6pgzq85",0.417,"8%","1/12",0,"n/a","—"
571,"2erbp0af",0.417,"8%","1/12",0,"n/a","—"
572,"j3dei84l",0.417,"8%","1/12",0,"n/a","—"
573,"rbao6a8y",0.417,"8%","1/12",0,"n/a","—"
574,"phu07zxw",0.417,"8%","1/12",0,"n/a","—"
575,"7212eywo",0.417,"8%","1/12",0,"n/a","—"
576,"pfbviqpv",0.417,"8%","1/12",0,"n/a","—"
577,"ehoox4i5",0.417,"8%","1/12",0,"n/a","—"
578,"9lbcirlq",0.417,"8%","1/12",0,"n/a","—"
579,"m4tgxu6x",0.417,"8%","1/12",0,"n/a","—"
580,"m9w0vw2l",0.417,"8%","1/12",0,"n/a","—"
581,"4wsnihdi",0.417,"8%","1/12",0,"n/a","—"
582,"9947aqil",0.417,"8%","1/12",0,"n/a","—"
583,"6u4teayg",0.417,"8%","1/12",0,"n/a","—"
584,"bsiyxjuo",0.417,"8%","1/12",0,"n/a","—"
585,"8uxxbf0l",0.417,"8%","1/12",0,"n/a","—"
586,"tviuj6w2",0.417,"8%","1/12",0,"n/a","—"
587,"f2mjihx0",0.417,"8%","1/12",0,"n/a","—"
588,"a8kdcboh",0.417,"8%","1/12",0,"n/a","—"
589,"u8godnuc",0.417,"8%","1/12",0,"n/a","—"
590,"j53omzeh",0.417,"8%","1/12",0,"n/a","—"
591,"75sbgqdr",0.417,"8%","1/12",0,"n/a","—"
592,"pkefvg0d",0.417,"8%","1/12",0,"n/a","—"
593,"zwxos0yf",0.417,"8%","1/12",0,"n/a","—"
594,"f1u1738b",0.417,"8%","1/12",0,"n/a","—"
595,"gi0npgo4",0.417,"8%","1/12",0,"n/a","—"
596,"g4qab5j5",0.417,"8%","1/12",0,"n/a","—"
597,"feh83l7n",0.417,"8%","1/12",0,"n/a","—"
598,"yrosgtti",0.417,"8%","1/12",0,"n/a","—"
599,"tr46fy3b",0.417,"8%","1/12",0,"n/a","—"
600,"exauqszc",0.417,"8%","1/12",0,"n/a","—"
601,"lxptpwtp",0.417,"8%","1/12",0,"n/a","—"
602,"mrptqq1b",0.417,"8%","1/12",0,"n/a","—"
603,"3uk2q3qa",0.417,"8%","1/12",0,"n/a","—"
604,"zmprtvon",0.417,"8%","1/12",0,"n/a","—"
605,"tie6z3tm",0.417,"8%","1/12",0,"n/a","—"
606,"2rw7u4sb",0.417,"8%","1/12",0,"n/a","—"
607,"26qkjjbc",0.417,"8%","1/12",0,"n/a","—"
608,"j574knhz",0.417,"8%","1/12",0,"n/a","—"
609,"zxcj0nrj",0.417,"8%","1/12",0,"n/a","—"
610,"5z8liby9",0.417,"8%","1/12",0,"n/a","—"
611,"jf7bqz16",0.417,"8%","1/12",0,"n/a","—"
612,"henuomv3",0.417,"8%","1/12",0,"n/a","—"
613,"bd2z5t81",0.417,"8%","1/12",0,"n/a","—"
614,"6h8mih29",0.417,"8%","1/12",0,"n/a","—"
615,"uvvf53ys",0.417,"8%","1/12",0,"n/a","—"
616,"ybmuwenf",0.417,"8%","1/12",0,"n/a","—"
617,"i2lfz9vz",0.417,"8%","1/12",0,"n/a","—"
618,"z0v1appw",0.417,"8%","1/12",0,"n/a","—"
619,"yxid7v34",0.417,"8%","1/12",0,"n/a","—"
620,"hs23augy",0.417,"8%","1/12",0,"n/a","—"
621,"2151z9ce",0.417,"8%","1/12",0,"n/a","—"
622,"206uu0m1",0.417,"8%","1/12",0,"n/a","—"
623,"mu3yxqmn",0.417,"8%","1/12",0,"n/a","—"
624,"by90layk",0.417,"8%","1/12",0,"n/a","—"
625,"mq4f70bc",0.417,"8%","1/12",0,"n/a","—"
626,"ctsrt361",0.417,"8%","1/12",0,"n/a","—"
627,"ue83mj2p",0.417,"8%","1/12",0,"n/a","—"
628,"mg15dxaz",0.417,"8%","1/12",0,"n/a","—"
629,"m5on11uk",0.417,"8%","1/12",0,"n/a","—"
630,"refjj03n",0.417,"8%","1/12",0,"n/a","—"
631,"ow8e9mjp",0.417,"8%","1/12",0,"n/a","—"
632,"z0m4zisg",0.417,"8%","1/12",0,"n/a","—"
633,"rydu62jj",0.417,"8%","1/12",0,"n/a","—"
634,"wgapceo5",0.417,"8%","1/12",0,"n/a","—"
635,"mjkbodco",0.417,"8%","1/12",0,"n/a","—"
636,"gh91fc8l",0.417,"8%","1/12",0,"n/a","—"
637,"qe61ptai",0.417,"8%","1/12",0,"n/a","—"
638,"wvdei6b9",0.417,"8%","1/12",0,"n/a","—"
639,"nj2933d3",0.417,"8%","1/12",0,"n/a","—"
640,"sa6stsc9",0.417,"8%","1/12",0,"n/a","—"
641,"7nyuvgwb",0.417,"8%","1/12",0,"n/a","—"
642,"w1axwthd",0.417,"8%","1/12",0,"n/a","—"
643,"9j248s4a",0.417,"8%","1/12",0,"n/a","—"
644,"p57vdntn",0.417,"8%","1/12",0,"n/a","—"
645,"0aepdeui",0.417,"8%","1/12",0,"n/a","—"
646,"rmjawsws",0.417,"8%","1/12",0,"n/a","—"
647,"hx6u1w9u",0.417,"8%","1/12",0,"n/a","—"
648,"b5xwz8vt",0.417,"8%","1/12",0,"n/a","—"
649,"ver5ukss",0.417,"8%","1/12",0,"n/a","—"
650,"xz7afbog",0.417,"8%","1/12",0,"n/a","—"
651,"z5n5oikh",0.417,"8%","1/12",0,"n/a","—"
652,"3rgxjpdy",0.417,"8%","1/12",0,"n/a","—"
653,"ej1mrnke",0.417,"8%","1/12",0,"n/a","—"
654,"e4oy791p",0.417,"8%","1/12",0,"n/a","—"
655,"czrblvf5",0.417,"8%","1/12",0,"n/a","—"
656,"0y42hcqx",0.417,"8%","1/12",0,"n/a","—"
657,"c72mxflh",0.417,"8%","1/12",0,"n/a","—"
658,"ya58fpxa",0.417,"8%","1/12",0,"n/a","—"
659,"6iiy05k2",0.417,"8%","1/12",0,"n/a","—"
660,"hpj9fncm",0.417,"8%","1/12",0,"n/a","—"
661,"e70lx5ig",0.417,"8%","1/12",0,"n/a","—"
662,"dql18qx2",0.417,"8%","1/12",0,"n/a","—"
663,"twysw1or",0.417,"8%","1/12",0,"n/a","—"
664,"48vk71t5",0.417,"8%","1/12",0,"n/a","—"
665,"owdjh99f",0.417,"8%","1/12",0,"n/a","—"
666,"jgwhmrjm",0.417,"8%","1/12",0,"n/a","—"
667,"6ifxz39c",0.417,"8%","1/12",0,"n/a","—"
668,"ffep31ak",0.417,"8%","1/12",0,"n/a","—"
669,"wstwggm2",0.417,"8%","1/12",0,"n/a","—"
670,"zvaeds0d",0.417,"8%","1/12",0,"n/a","—"
671,"2mvictlw",0.417,"8%","1/12",0,"n/a","—"
672,"28zqng5b",0.417,"8%","1/12",0,"n/a","—"
673,"ml9s1b24",0.417,"8%","1/12",0,"n/a","—"
674,"zi78n7ks",0.417,"8%","1/12",0,"n/a","—"
675,"hlw0o07v",0.417,"8%","1/12",0,"n/a","—"
676,"pnpjzjku",0.417,"8%","1/12",0,"n/a","—"
677,"ruw9fbdg",0.417,"8%","1/12",0,"n/a","—"
678,"aqpr925w",0.417,"8%","1/12",0,"n/a","—"
679,"c0xpu2i5",0.417,"8%","1/12",0,"n/a","—"
680,"hrcje5j0",0.417,"8%","1/12",0,"n/a","—"
681,"oprpxurm",0.417,"8%","1/12",0,"n/a","—"
682,"8pux4nix",0.417,"8%","1/12",0,"n/a","—"
683,"9e3abw0g",0.417,"8%","1/12",0,"n/a","—"
684,"u4zdn3df",0.417,"8%","1/12",0,"n/a","—"
685,"tn95ght4",0.417,"8%","1/12",0,"n/a","—"
686,"sq2kuxo0",0.417,"8%","1/12",0,"n/a","—"
687,"clz67gc5",0.417,"8%","1/12",0,"n/a","—"
688,"bix6iqei",0.417,"8%","1/12",0,"n/a","—"
689,"t25tonjm",0.417,"8%","1/12",0,"n/a","—"
690,"8j03nvlx",0.417,"8%","1/12",0,"n/a","—"
691,"8objzt7y",0.417,"8%","1/12",0,"n/a","—"
692,"zgphuvze",0.417,"8%","1/12",0,"n/a","—"
693,"l5ote6c5",0.417,"8%","1/12",0,"n/a","—"
694,"khyvsxpv",0.417,"8%","1/12",0,"n/a","—"
695,"x8i3p1cz",0.417,"8%","1/12",0,"n/a","—"
696,"79a3zmca",0.417,"8%","1/12",0,"n/a","—"
697,"x40qf6ty",0.417,"8%","1/12",0,"n/a","—"
698,"gry6iha1",0.417,"8%","1/12",0,"n/a","—"
699,"qtkqcrjz",0.417,"8%","1/12",0,"n/a","—"
700,"g55yt83u",0.417,"8%","1/12",0,"n/a","—"
701,"znxu6oy7",0.417,"8%","1/12",0,"n/a","—"
702,"8l3jm1cz",0.417,"8%","1/12",0,"n/a","—"
703,"2wpg3h3b",0.417,"8%","1/12",0,"n/a","—"
704,"q9e1n44x",0.417,"8%","1/12",0,"n/a","—"
705,"5mouj54e",0.417,"8%","1/12",0,"n/a","—"
706,"7bvssjnl",0.417,"8%","1/12",0,"n/a","—"
707,"1444793b",0.417,"8%","1/12",0,"n/a","—"
708,"x8ay6i63",0.417,"8%","1/12",0,"n/a","—"
709,"i9e3loat",0.417,"8%","1/12",0,"n/a","—"
710,"iem2wr7h",0.417,"8%","1/12",0,"n/a","—"
711,"vz0bh91n",0.417,"8%","1/12",0,"n/a","—"
712,"zwum0t9r",0.417,"8%","1/12",0,"n/a","—"
713,"iekhwasb",0.417,"8%","1/12",0,"n/a","—"
714,"tc2khhv0",0.417,"8%","1/12",0,"n/a","—"
715,"bg43ignb",0.417,"8%","1/12",0,"n/a","—"
716,"ez4vkor5",0.417,"8%","1/12",0,"n/a","—"
717,"56ri0lyp",0.417,"8%","1/12",0,"n/a","—"
718,"o7e41v6h",0.417,"8%","1/12",0,"n/a","—"
719,"zseiejqr",0.417,"8%","1/12",0,"n/a","—"
720,"oax3a04e",0.417,"8%","1/12",0,"n/a","—"
721,"c0urno5p",0.417,"8%","1/12",0,"n/a","—"
722,"0u5v70xi",0.417,"8%","1/12",0,"n/a","—"
723,"lq9qz44p",0.417,"8%","1/12",0,"n/a","—"
724,"hwmmlf2i",0.417,"8%","1/12",0,"n/a","—"
725,"iyp36znf",0.417,"8%","1/12",0,"n/a","—"
726,"wl0upu4w",0.417,"8%","1/12",0,"n/a","—"
727,"hecy8mcg",0.417,"8%","1/12",0,"n/a","—"
728,"85j82701",0.417,"8%","1/12",0,"n/a","—"
729,"xo4vybu9",0.417,"8%","1/12",0,"n/a","—"
730,"ay5vlmgw",0.417,"8%","1/12",0,"n/a","—"
731,"bbg73ztl",0.417,"8%","1/12",0,"n/a","—"
732,"r7bip4co",0.417,"8%","1/12",0,"n/a","—"
733,"b3va68y6",0.417,"8%","1/12",0,"n/a","—"
734,"jcy5ih6i",0.417,"8%","1/12",0,"n/a","—"
735,"9rcomyjr",0.417,"8%","1/12",0,"n/a","—"
736,"1k68zkd0",0.417,"8%","1/12",0,"n/a","—"
737,"16jozbfc",0.417,"8%","1/12",0,"n/a","—"
738,"1byyu649",0.417,"8%","1/12",0,"n/a","—"
739,"kxkb5p2r",0.417,"8%","1/12",0,"n/a","—"
740,"g7bvgotw",0.417,"8%","1/12",0,"n/a","—"
741,"lmq7hg81",0.417,"8%","1/12",0,"n/a","—"
742,"m6v01kbw",0.417,"8%","1/12",0,"n/a","—"
743,"gz78ruzx",0.417,"8%","1/12",0,"n/a","—"
744,"7bdb6hwg",0.417,"8%","1/12",0,"n/a","—"
745,"erglsh4n",0.417,"8%","1/12",0,"n/a","—"
746,"ucrm2mci",0.417,"8%","1/12",0,"n/a","—"
747,"akh4j7rs",0.417,"8%","1/12",0,"n/a","—"
748,"6ac8n1y4",0.417,"8%","1/12",0,"n/a","—"
749,"86uvy4ip",0.417,"8%","1/12",0,"n/a","—"
750,"k6im32ak",0.417,"8%","1/12",0,"n/a","—"
751,"hzcrbfyc",0.417,"8%","1/12",0,"n/a","—"
752,"td37ccl3",0.417,"8%","1/12",0,"n/a","—"
753,"3qhnq3rh",0.417,"8%","1/12",0,"n/a","—"
754,"lt6iux12",0.417,"8%","1/12",0,"n/a","—"
755,"979g4oca",0.417,"8%","1/12",0,"n/a","—"
756,"2i4ynzp2",0.417,"8%","1/12",0,"n/a","—"
757,"mecmfzx1",0.417,"8%","1/12",0,"n/a","—"
758,"0jya1aw6",0.417,"8%","1/12",0,"n/a","—"
759,"ij7874fg",0.417,"8%","1/12",0,"n/a","—"
760,"5c6k6gdo",0.417,"8%","1/12",0,"n/a","—"
761,"11r58dd1",0.417,"8%","1/12",0,"n/a","—"
762,"ayoxyntj",0.417,"8%","1/12",0,"n/a","—"
763,"3bn287r7",0.417,"8%","1/12",0,"n/a","—"
764,"qzbhrl77",0.417,"8%","1/12",0,"n/a","—"
765,"1bmsp55t",0.417,"8%","1/12",0,"n/a","—"
766,"qiqla9uo",0.417,"8%","1/12",0,"n/a","—"
767,"bt67ahk3",0.417,"8%","1/12",0,"n/a","—"
768,"wsintq4s",0.417,"8%","1/12",0,"n/a","—"
769,"zs6moteg",0.417,"8%","1/12",0,"n/a","—"
770,"dbo8v456",0.417,"8%","1/12",0,"n/a","—"
771,"cd6l0g3o",0.417,"8%","1/12",0,"n/a","—"
772,"eeszq3kz",0.417,"8%","1/12",0,"n/a","—"
773,"c629xnnk",0.417,"8%","1/12",0,"n/a","—"
774,"x6vl3kbt",0.417,"8%","1/12",0,"n/a","—"
775,"3ex91x9n",0.417,"8%","1/12",0,"n/a","—"
776,"9r8365p5",0.417,"8%","1/12",0,"n/a","—"
777,"2nbakq0h",0.417,"8%","1/12",0,"n/a","—"
778,"kwyuhk3f",0.417,"8%","1/12",0,"n/a","—"
779,"te6wtbyf",0.417,"8%","1/12",0,"n/a","—"
780,"da246pzt",0.417,"8%","1/12",0,"n/a","—"
781,"ad88fz6k",0.417,"8%","1/12",0,"n/a","—"
782,"plg4183c",0.417,"8%","1/12",0,"n/a","—"
783,"iiqxf1ir",0.417,"8%","1/12",0,"n/a","—"
784,"z8k9y4wt",0.417,"8%","1/12",0,"n/a","—"
785,"eguyrf4k",0.417,"8%","1/12",0,"n/a","—"
786,"cvssg83w",0.417,"8%","1/12",0,"n/a","—"
787,"ek24p5vb",0.417,"8%","1/12",0,"n/a","—"
788,"df8yrxkh",0.417,"8%","1/12",0,"n/a","—"
789,"hu577bij",0.417,"8%","1/12",0,"n/a","—"
790,"z2pkpywq",0.417,"8%","1/12",0,"n/a","—"
791,"3osc5ir3",0.417,"8%","1/12",0,"n/a","—"
792,"4ykutrta",0.417,"8%","1/12",0,"n/a","—"
793,"6bb8d0fl",0.417,"8%","1/12",0,"n/a","—"
794,"8z70a89g",0.417,"8%","1/12",0,"n/a","—"
795,"k50ss0bn",0.417,"8%","1/12",0,"n/a","—"
796,"tda55bxl",0.417,"8%","1/12",0,"n/a","—"
797,"dssjt3c4",0.417,"8%","1/12",0,"n/a","—"
798,"kbbf8miy",0.417,"8%","1/12",0,"n/a","—"
799,"umogrhum",0.417,"8%","1/12",0,"n/a","—"
800,"yf0uoc3t",0.417,"8%","1/12",0,"n/a","—"
801,"b10nezlt",0.417,"8%","1/12",0,"n/a","—"
802,"x1hzo8bu",0.417,"8%","1/12",0,"n/a","—"
803,"umbau5v8",0.417,"8%","1/12",0,"n/a","—"
804,"1vw4571d",0.417,"8%","1/12",0,"n/a","—"
805,"jy0yjjjg",0.417,"8%","1/12",0,"n/a","—"
806,"v48vl6cr",0.417,"8%","1/12",0,"n/a","—"
807,"h79bqkvz",0.417,"8%","1/12",0,"n/a","—"
808,"e97ljtwx",0.417,"8%","1/12",0,"n/a","—"
809,"xoq67weu",0.417,"8%","1/12",0,"n/a","—"
810,"srs06f3n",0.417,"8%","1/12",0,"n/a","—"
811,"q3c61c3h",0.417,"8%","1/12",0,"n/a","—"
812,"x2ctt8wd",0.417,"8%","1/12",0,"n/a","—"
813,"szosfx9t",0.417,"8%","1/12",0,"n/a","—"
814,"5earwgsx",0.417,"8%","1/12",0,"n/a","—"
815,"65n8cbhs",0.417,"8%","1/12",0,"n/a","—"
816,"hhjr2z66",0.417,"8%","1/12",0,"n/a","—"
817,"s1ez46bp",0.417,"8%","1/12",0,"n/a","—"
818,"ix1pp4l2",0.417,"8%","1/12",0,"n/a","—"
819,"gfe8ncpc",0.417,"8%","1/12",0,"n/a","—"
820,"0cjwhhqi",0.417,"8%","1/12",0,"n/a","—"
821,"yyfl1vzm",0.417,"8%","1/12",0,"n/a","—"
822,"0xnw887j",0.417,"8%","1/12",0,"n/a","—"
823,"o0b6k1vn",0.417,"8%","1/12",0,"n/a","—"
824,"satzlj3v",0.417,"8%","1/12",0,"n/a","—"
825,"l3e1nfy0",0.417,"8%","1/12",0,"n/a","—"
826,"kifjd7ep",0.417,"8%","1/12",0,"n/a","—"
827,"4zndnz1l",0.417,"8%","1/12",0,"n/a","—"
828,"jgdfzc9z",0.417,"8%","1/12",0,"n/a","—"
829,"x2l8qff9",0.417,"8%","1/12",0,"n/a","—"
830,"lb59mj1w",0.417,"8%","1/12",0,"n/a","—"
831,"u064aeco",0.417,"8%","1/12",0,"n/a","—"
832,"9fztmsl1",0.417,"8%","1/12",0,"n/a","—"
833,"ic33nnrg",0.417,"8%","1/12",0,"n/a","—"
834,"p17i64cr",0.417,"8%","1/12",0,"n/a","—"
835,"covup4qc",0.417,"8%","1/12",0,"n/a","—"
836,"da7llnqn",0.417,"8%","1/12",0,"n/a","—"
837,"g80ybqfe",0.417,"8%","1/12",0,"n/a","—"
838,"zgc2y1j5",0.417,"8%","1/12",0,"n/a","—"
839,"ngokejy3",0.417,"8%","1/12",0,"n/a","—"
840,"gy06u24r",0.417,"8%","1/12",0,"n/a","—"
841,"ducyztkc",0.417,"8%","1/12",0,"n/a","—"
842,"j0lgg5gk",0.417,"8%","1/12",0,"n/a","—"
843,"szlioa3l",0.417,"8%","1/12",0,"n/a","—"
844,"svnjms2j",0.417,"8%","1/12",0,"n/a","—"
845,"rs1mnusa",0.417,"8%","1/12",0,"n/a","—"
846,"puvfkgf5",0.417,"8%","1/12",0,"n/a","—"
847,"q4t6pjv8",0.417,"8%","1/12",0,"n/a","—"
848,"kk9b521m",0.417,"8%","1/12",0,"n/a","—"
849,"7qwe97o4",0.417,"8%","1/12",0,"n/a","—"
850,"le3kl832",0.417,"8%","1/12",0,"n/a","—"
851,"1tu04wsc",0.417,"8%","1/12",0,"n/a","—"
